"dato","kommunenavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-03-08,København,K,29546,11687,28338,11649,1208,38
2021-03-08,København,M,15977,5570,15296,5553,681,17
2021-03-08,Frederiksberg,K,6046,2391,5831,2383,215,8
2021-03-08,Frederiksberg,M,3195,1160,3107,1157,88,3
2021-03-08,Ballerup,K,3174,993,3024,984,150,9
2021-03-08,Ballerup,M,1529,425,1454,418,75,7
2021-03-08,Brøndby,K,2313,739,2231,737,82,2
2021-03-08,Brøndby,M,1160,312,1098,310,62,2
2021-03-08,Dragør,K,885,321,869,320,16,1
2021-03-08,Dragør,M,498,137,489,137,9,0
2021-03-08,Gentofte,K,4900,1951,4716,1947,184,4
2021-03-08,Gentofte,M,2455,897,2360,894,95,3
2021-03-08,Gladsaxe,K,4788,1822,4606,1817,182,5
2021-03-08,Gladsaxe,M,2143,739,2065,732,78,7
2021-03-08,Glostrup,K,1794,746,1730,743,64,3
2021-03-08,Glostrup,M,878,395,850,390,28,5
2021-03-08,Herlev,K,2201,869,2127,868,74,1
2021-03-08,Herlev,M,903,282,867,282,36,0
2021-03-08,Albertslund,K,1699,691,1617,689,82,2
2021-03-08,Albertslund,M,878,345,834,341,44,4
2021-03-08,Hvidovre,K,3792,1513,3668,1507,124,6
2021-03-08,Hvidovre,M,1858,635,1782,634,76,1
2021-03-08,Høje Tåstrup,K,3062,1238,2953,1220,109,18
2021-03-08,Høje Tåstrup,M,1698,755,1645,745,53,10
2021-03-08,Lyngby-Taarbæk,K,3935,1371,3825,1370,110,1
2021-03-08,Lyngby-Taarbæk,M,1832,603,1775,600,57,3
2021-03-08,Rødovre,K,2854,889,2738,882,116,7
2021-03-08,Rødovre,M,1185,335,1130,332,55,3
2021-03-08,Ishøj,K,1238,460,1186,460,52,0
2021-03-08,Ishøj,M,617,217,593,216,24,1
2021-03-08,Tårnby,K,2778,1038,2702,1034,76,4
2021-03-08,Tårnby,M,1369,373,1325,373,44,0
2021-03-08,Vallensbæk,K,1044,352,1011,348,33,4
2021-03-08,Vallensbæk,M,607,221,595,221,12,0
2021-03-08,Furesø,K,2915,1047,2802,1040,113,7
2021-03-08,Furesø,M,1396,459,1342,454,54,5
2021-03-08,Allerød,K,1768,583,1722,578,46,5
2021-03-08,Allerød,M,921,266,889,263,32,3
2021-03-08,Fredensborg,K,2759,1109,2667,1106,92,3
2021-03-08,Fredensborg,M,1414,478,1362,478,52,0
2021-03-08,Helsingør,K,4499,1614,4337,1610,162,4
2021-03-08,Helsingør,M,2355,744,2259,741,96,3
2021-03-08,Hillerød,K,3954,1620,3840,1613,114,7
2021-03-08,Hillerød,M,1963,673,1882,667,81,6
2021-03-08,Hørsholm,K,1818,684,1761,678,57,6
2021-03-08,Hørsholm,M,997,325,964,322,33,3
2021-03-08,Rudersdal,K,4024,1384,3842,1377,182,7
2021-03-08,Rudersdal,M,2131,641,2026,635,105,6
2021-03-08,Egedal,K,2602,907,2522,895,80,12
2021-03-08,Egedal,M,1184,320,1135,312,49,8
2021-03-08,Frederikssund,K,3318,1138,3213,1122,105,16
2021-03-08,Frederikssund,M,1558,512,1492,496,66,16
2021-03-08,Greve,K,2869,1154,2788,1112,81,42
2021-03-08,Greve,M,1505,466,1450,444,55,22
2021-03-08,Køge,K,3689,1547,3576,1505,113,42
2021-03-08,Køge,M,1797,569,1718,543,79,26
2021-03-08,Halsnæs,K,2249,792,2160,785,89,7
2021-03-08,Halsnæs,M,1157,344,1103,335,54,9
2021-03-08,Roskilde,K,5806,2630,5662,2498,144,132
2021-03-08,Roskilde,M,2870,1117,2762,1020,108,97
2021-03-08,Solrød,K,1307,583,1271,550,36,33
2021-03-08,Solrød,M,707,240,684,222,23,18
2021-03-08,Gribskov,K,2915,1080,2793,1077,122,3
2021-03-08,Gribskov,M,1594,529,1509,527,85,2
2021-03-08,Odsherred,K,2180,789,2120,730,60,59
2021-03-08,Odsherred,M,1176,421,1146,387,30,34
2021-03-08,Holbæk,K,4734,1975,4670,1866,64,109
2021-03-08,Holbæk,M,2140,786,2097,727,43,59
2021-03-08,Faxe,K,2147,889,2088,841,59,48
2021-03-08,Faxe,M,1093,349,1051,323,42,26
2021-03-08,Kalundborg,K,2853,1085,2824,1035,29,50
2021-03-08,Kalundborg,M,1274,508,1260,480,14,28
2021-03-08,Ringsted,K,1970,856,1937,795,33,61
2021-03-08,Ringsted,M,853,336,833,319,20,17
2021-03-08,Slagelse,K,5349,2286,5271,2198,78,88
