"Regionsnavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
Nordjylland,58985,21360,10.0,3.6,590405
Midtjylland,116451,47200,8.7,3.5,1332788
Syddanmark,116657,42123,9.5,3.4,1223718
Hovedstaden,168747,61313,9.1,3.3,1855623
Sjælland,78870,31520,9.4,3.8,839111
