"Kommunenavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
København,45523,17257,7.1,2.7,638641
Frederiksberg,9241,3551,8.9,3.4,103398
Ballerup,4703,1418,9.6,2.9,49116
Brøndby,3473,1051,9.8,3.0,35363
Dragør,1383,458,9.5,3.1,14563
Gentofte,7355,2848,9.9,3.8,74378
Gladsaxe,6931,2561,10.0,3.7,69199
Glostrup,2672,1141,11.4,4.9,23444
Herlev,3104,1151,10.8,4.0,28821
Albertslund,2577,1036,9.5,3.8,27243
Hvidovre,5650,2148,10.6,4.0,53340
Høje Tåstrup,4760,1993,9.1,3.8,52119
Lyngby-Taarbæk,5767,1974,10.1,3.5,56832
Rødovre,4039,1224,9.8,3.0,41177
Ishøj,1855,677,8.0,2.9,23054
Tårnby,4147,1411,9.7,3.3,42728
Vallensbæk,1651,573,10.0,3.5,16541
Furesø,4311,1506,10.5,3.7,40950
Allerød,2689,849,10.4,3.3,25863
Fredensborg,4173,1587,10.2,3.9,40942
Helsingør,6854,2358,10.9,3.7,63045
Hillerød,5917,2293,11.4,4.4,51710
Hørsholm,2815,1009,11.3,4.1,24847
Rudersdal,6155,2025,10.8,3.6,56956
Egedal,3786,1227,8.7,2.8,43707
Frederikssund,4876,1650,10.7,3.6,45541
Greve,4374,1620,8.6,3.2,50571
Køge,5486,2116,8.9,3.4,61533
Halsnæs,3406,1136,10.8,3.6,31407
Roskilde,8676,3747,9.8,4.2,88782
Solrød,2014,823,8.6,3.5,23454
Gribskov,4509,1609,11.0,3.9,40981
Odsherred,3356,1210,10.2,3.7,32898
Holbæk,6874,2761,9.6,3.8,71979
Faxe,3240,1238,8.8,3.4,36750
Kalundborg,4127,1593,8.5,3.3,48408
Ringsted,2823,1192,8.1,3.4,34896
Slagelse,7638,3197,9.6,4.0,79220
Stevns,2146,706,9.3,3.0,23155
Sorø,2902,1146,9.7,3.8,29972
Lejre,2681,1069,9.5,3.8,28275
Lolland,3833,1580,9.5,3.9,40440
Næstved,8005,3549,9.6,4.3,83277
Guldborgsund,6506,2394,10.8,4.0,60300
Vordingborg,4189,1579,9.3,3.5,45201
Bornholm,4425,1592,11.1,4.0,39717
Middelfart,4331,1567,11.0,4.0,39237
Assens,3779,1209,9.3,3.0,40853
Faaborg-Midtfyn,4990,1646,9.7,3.2,51632
Kerteminde,2286,766,9.6,3.2,23834
Nyborg,3137,959,9.8,3.0,31946
Odense,18923,6854,9.2,3.3,205141
Svendborg,6902,3146,11.8,5.4,58718
Nordfyn,2751,840,9.3,2.8,29529
Langeland,1447,565,11.7,4.6,12358
Ærø,738,306,12.3,5.1,5982
Haderslev,4834,1836,8.7,3.3,55328
Billund,2290,766,8.6,2.9,26521
Sønderborg,6728,2454,9.1,3.3,73792
Tønder,3364,1250,9.1,3.4,37022
Esbjerg,12211,4079,10.6,3.5,115554
Fanø,373,125,10.8,3.6,3446
Varde,5113,1492,10.3,3.0,49642
Vejen,4273,1419,10.0,3.3,42751
Aabenraa,4525,1718,7.7,2.9,58549
Fredericia,5101,1966,9.9,3.8,51368
Horsens,7648,2838,8.3,3.1,92538
Kolding,8196,3069,8.8,3.3,93103
Vejle,10365,4091,8.8,3.5,117412
Herning,8086,3438,9.1,3.9,89276
Holstebro,5494,2075,9.4,3.5,58701
Lemvig,1792,915,9.2,4.7,19579
Struer,2051,945,9.9,4.5,20810
Syddjurs,3950,1728,9.1,4.0,43245
Norddjurs,3631,1646,9.8,4.5,36971
Favrskov,4097,1710,8.5,3.5,48429
Odder,2302,1076,10.0,4.7,22990
Randers,9288,3538,9.4,3.6,98315
Silkeborg,8192,3303,8.5,3.4,95861
Samsø,489,446,13.3,12.1,3680
Skanderborg,4952,2145,7.8,3.4,63437
Århus,28603,10268,8.1,2.9,352425
Ikast-Brande,3177,1566,7.7,3.8,41529
Ringkøbing-Skjern,4914,2083,8.8,3.7,56135
Hedensted,3937,1789,8.4,3.8,46820
Morsø,2476,1121,12.3,5.6,20061
Skive,4368,1880,9.6,4.1,45417
Thisted,4214,1409,9.8,3.3,43102
Viborg,9480,3811,9.8,3.9,96630
Brønderslev,3638,1446,10.1,4.0,36123
Frederikshavn,5874,2377,10.0,4.0,58978
Vesthimmerland,3761,1204,10.3,3.3,36344
Læsø,287,118,16.2,6.7,1772
Rebild,2766,1055,9.1,3.5,30487
Mariagerfjord,4088,1418,9.8,3.4,41580
Jammerbugt,3661,1146,9.6,3.0,38127
Aalborg,21100,7795,9.6,3.5,219729
Hjørring,7120,2271,11.1,3.5,64102
