"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-03-08,Hovedstaden,K,111846,42158,107710,41968,4136,190
2021-03-08,Hovedstaden,M,56901,19155,54639,19028,2262,127
2021-03-08,Midtjylland,K,79708,34242,79542,33540,166,702
2021-03-08,Midtjylland,M,36743,12958,36665,12551,78,407
2021-03-08,Nordjylland,K,40666,15736,40008,15356,658,380
2021-03-08,Nordjylland,M,18319,5624,17576,5384,743,240
2021-03-08,Sjælland,K,53183,22126,52118,21062,1065,1064
2021-03-08,Sjælland,M,25687,9394,25076,8781,611,613
2021-03-08,Syddanmark,K,78279,29968,76776,29616,1503,352
2021-03-08,Syddanmark,M,38378,12155,37359,11890,1019,265
