"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
;0-9;67;2021-04-03
019;0-9;14;2021-04-03
101;0-9;2881;2021-04-03
147;0-9;415;2021-04-03
151;0-9;269;2021-04-03
153;0-9;290;2021-04-03
155;0-9;74;2021-04-03
157;0-9;222;2021-04-03
159;0-9;430;2021-04-03
161;0-9;120;2021-04-03
163;0-9;189;2021-04-03
165;0-9;198;2021-04-03
167;0-9;305;2021-04-03
169;0-9;402;2021-04-03
173;0-9;195;2021-04-03
175;0-9;232;2021-04-03
183;0-9;250;2021-04-03
185;0-9;246;2021-04-03
187;0-9;133;2021-04-03
190;0-9;156;2021-04-03
201;0-9;58;2021-04-03
210;0-9;162;2021-04-03
217;0-9;232;2021-04-03
219;0-9;168;2021-04-03
223;0-9;59;2021-04-03
230;0-9;142;2021-04-03
240;0-9;210;2021-04-03
250;0-9;92;2021-04-03
253;0-9;221;2021-04-03
259;0-9;193;2021-04-03
260;0-9;49;2021-04-03
265;0-9;278;2021-04-03
269;0-9;83;2021-04-03
270;0-9;98;2021-04-03
306;0-9;30;2021-04-03
316;0-9;162;2021-04-03
320;0-9;56;2021-04-03
326;0-9;76;2021-04-03
329;0-9;82;2021-04-03
330;0-9;225;2021-04-03
336;0-9;37;2021-04-03
340;0-9;47;2021-04-03
350;0-9;98;2021-04-03
360;0-9;40;2021-04-03
370;0-9;158;2021-04-03
376;0-9;89;2021-04-03
390;0-9;50;2021-04-03
400;0-9;27;2021-04-03
410;0-9;57;2021-04-03
420;0-9;37;2021-04-03
430;0-9;66;2021-04-03
440;0-9;62;2021-04-03
450;0-9;65;2021-04-03
461;0-9;630;2021-04-03
479;0-9;69;2021-04-03
480;0-9;40;2021-04-03
482;0-9;5;2021-04-03
492;0-9;3;2021-04-03
510;0-9;72;2021-04-03
530;0-9;45;2021-04-03
540;0-9;122;2021-04-03
550;0-9;40;2021-04-03
561;0-9;262;2021-04-03
563;0-9;1;2021-04-03
573;0-9;73;2021-04-03
575;0-9;69;2021-04-03
580;0-9;107;2021-04-03
607;0-9;110;2021-04-03
615;0-9;199;2021-04-03
621;0-9;390;2021-04-03
630;0-9;345;2021-04-03
657;0-9;152;2021-04-03
661;0-9;102;2021-04-03
665;0-9;25;2021-04-03
671;0-9;40;2021-04-03
706;0-9;43;2021-04-03
707;0-9;59;2021-04-03
710;0-9;93;2021-04-03
727;0-9;46;2021-04-03
730;0-9;242;2021-04-03
740;0-9;225;2021-04-03
741;0-9;2;2021-04-03
746;0-9;171;2021-04-03
751;0-9;1185;2021-04-03
756;0-9;73;2021-04-03
760;0-9;45;2021-04-03
766;0-9;68;2021-04-03
773;0-9;31;2021-04-03
779;0-9;49;2021-04-03
787;0-9;46;2021-04-03
791;0-9;125;2021-04-03
810;0-9;61;2021-04-03
813;0-9;74;2021-04-03
820;0-9;27;2021-04-03
840;0-9;54;2021-04-03
846;0-9;41;2021-04-03
849;0-9;67;2021-04-03
851;0-9;441;2021-04-03
860;0-9;89;2021-04-03
;10-19;69;2021-04-03
011;10-19;3;2021-04-03
019;10-19;17;2021-04-03
101;10-19;4835;2021-04-03
147;10-19;648;2021-04-03
151;10-19;507;2021-04-03
153;10-19;474;2021-04-03
155;10-19;112;2021-04-03
157;10-19;738;2021-04-03
159;10-19;700;2021-04-03
161;10-19;234;2021-04-03
163;10-19;414;2021-04-03
165;10-19;388;2021-04-03
167;10-19;650;2021-04-03
169;10-19;691;2021-04-03
173;10-19;437;2021-04-03
175;10-19;471;2021-04-03
183;10-19;464;2021-04-03
185;10-19;453;2021-04-03
187;10-19;241;2021-04-03
190;10-19;343;2021-04-03
201;10-19;157;2021-04-03
210;10-19;313;2021-04-03
217;10-19;512;2021-04-03
219;10-19;342;2021-04-03
223;10-19;184;2021-04-03
230;10-19;517;2021-04-03
240;10-19;348;2021-04-03
250;10-19;219;2021-04-03
253;10-19;485;2021-04-03
259;10-19;501;2021-04-03
260;10-19;133;2021-04-03
265;10-19;552;2021-04-03
269;10-19;297;2021-04-03
270;10-19;247;2021-04-03
306;10-19;153;2021-04-03
316;10-19;392;2021-04-03
320;10-19;175;2021-04-03
326;10-19;288;2021-04-03
329;10-19;211;2021-04-03
330;10-19;699;2021-04-03
336;10-19;115;2021-04-03
340;10-19;102;2021-04-03
350;10-19;184;2021-04-03
360;10-19;155;2021-04-03
370;10-19;458;2021-04-03
376;10-19;199;2021-04-03
390;10-19;221;2021-04-03
400;10-19;84;2021-04-03
410;10-19;153;2021-04-03
420;10-19;113;2021-04-03
430;10-19;165;2021-04-03
440;10-19;135;2021-04-03
450;10-19;142;2021-04-03
461;10-19;1367;2021-04-03
479;10-19;234;2021-04-03
480;10-19;132;2021-04-03
482;10-19;25;2021-04-03
492;10-19;5;2021-04-03
510;10-19;208;2021-04-03
530;10-19;104;2021-04-03
540;10-19;389;2021-04-03
550;10-19;184;2021-04-03
561;10-19;528;2021-04-03
563;10-19;7;2021-04-03
573;10-19;178;2021-04-03
575;10-19;146;2021-04-03
580;10-19;205;2021-04-03
607;10-19;214;2021-04-03
615;10-19;387;2021-04-03
621;10-19;502;2021-04-03
630;10-19;597;2021-04-03
657;10-19;284;2021-04-03
661;10-19;301;2021-04-03
665;10-19;53;2021-04-03
671;10-19;139;2021-04-03
706;10-19;103;2021-04-03
707;10-19;90;2021-04-03
710;10-19;227;2021-04-03
727;10-19;130;2021-04-03
730;10-19;501;2021-04-03
740;10-19;516;2021-04-03
741;10-19;7;2021-04-03
746;10-19;341;2021-04-03
751;10-19;2430;2021-04-03
756;10-19;177;2021-04-03
760;10-19;149;2021-04-03
766;10-19;224;2021-04-03
773;10-19;62;2021-04-03
