"Kommunenavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
København,51403,22245,638843
Frederiksberg,10742,5330,103353
Ballerup,5296,2538,49095
Brøndby,3943,1922,35398
Dragør,1692,883,14569
Gentofte,8410,4350,74370
Gladsaxe,7688,3717,69192
Glostrup,2969,1688,23468
Herlev,3501,1720,28830
Albertslund,2801,1618,27222
Hvidovre,6206,3268,53299
Høje-Taastrup,5244,2969,52179
Lyngby-Taarbæk,6478,3568,56883
Rødovre,4624,2185,41225
Ishøj,2094,1108,23078
Tårnby,4662,2300,42687
Vallensbæk,1843,1012,16566
Furesø,4917,2618,40938
Allerød,3096,1569,25845
Fredensborg,4873,2478,41048
Helsingør,7779,3969,63013
Hillerød,6789,3334,51726
Hørsholm,3311,1848,24825
Rudersdal,7097,3646,57003
Egedal,4244,2058,43709
Frederikssund,5605,2828,45557
Greve,4908,2502,50527
Køge,6207,3360,61513
Frederiksværk-Hundested,4158,1829,31419
Roskilde,9692,5070,88765
Solrød,2218,1189,23473
Gribskov,5336,2459,40985
Odsherred,3968,1984,32905
Holbæk,7929,4162,71979
Faxe,3726,2039,36749
Kalundborg,4945,2566,48425
Ringsted,3211,1760,34962
Slagelse,8877,4545,79248
Stevns,2605,1289,23198
Sorø,3479,1654,29985
Lejre,3097,1574,28295
Lolland,4521,2512,40409
Næstved,9149,5278,83274
Guldborgsund,7424,3931,60325
Vordingborg,4971,2653,45224
Bornholm,5097,2408,39730
Middelfart,5052,2379,39260
Assens,4500,1769,40850
Faaborg-Midtfyn,5877,2405,51635
Kerteminde,2819,1189,23825
Nyborg,3830,1402,31952
Odense,22303,9516,205072
Svendborg,7955,3976,58803
Nordfyns,3231,1246,29536
Langeland,1780,744,12358
Ærø,952,543,5990
Haderslev,5753,2317,55325
Billund,2586,1268,26505
Sønderborg,8272,3134,73793
Tønder,3886,1686,37024
Esbjerg,13722,6165,115534
Fanø,414,181,3448
Varde,5803,2680,49663
Vejen,4780,2372,42785
Aabenraa,5663,2148,58581
Fredericia,6032,2853,51379
Horsens,9402,4304,92581
Kolding,9385,4477,93095
Vejle,12290,5880,117497
Herning,9879,5394,89273
Holstebro,6787,3522,58696
Lemvig,2326,1281,19560
Struer,2526,1380,20824
Syddjurs,4883,2510,43265
Norddjurs,4483,2568,36985
Favrskov,4813,2502,48478
Odder,2839,1492,23012
Randers,11122,5587,98311
Silkeborg,10296,5327,95921
Samsø,696,457,3679
Skanderborg,6425,2885,63461
Århus,33869,15857,352454
Ikast-Brande,3900,2035,41542
Ringkøbing-Skjern,6154,3405,56146
Hedensted,4692,2507,46834
Morsø,2772,1620,20076
Skive,5191,2869,45421
Thisted,5098,2350,43103
Viborg,11054,6163,96657
Brønderslev-Dronninglund,4223,2013,36139
Frederikshavn,6796,3465,58968
Vesthimmerlands,4530,2358,36347
Læsø,401,180,1773
Rebild,3144,1564,30494
Mariagerfjord,5019,2264,41586
Jammerbugt,4020,1923,38163
Ålborg,23877,10911,219648
Hjørring,7970,3732,64121
