"Regionsnavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
Nordjylland,67850,32380,11.5,5.5,590418
Midtjylland,141337,72045,10.6,5.4,1333100
Syddanmark,136885,60330,11.2,4.9,1223910
Hovedstaden,191898,93465,10.3,5.0,1856055
Sjælland,90927,48068,10.8,5.7,839256
