"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16864,0
AstraZeneca Covid-19 vaccine,Midtjylland,33540,0
AstraZeneca Covid-19 vaccine,Syddanmark,30421,246
AstraZeneca Covid-19 vaccine,Hovedstaden,45093,6
AstraZeneca Covid-19 vaccine,Sjælland,23857,331
Moderna Covid-19 Vaccine,Nordjylland,4317,3127
Moderna Covid-19 Vaccine,Midtjylland,7914,1819
Moderna Covid-19 Vaccine,Syddanmark,8368,4136
Moderna Covid-19 Vaccine,Hovedstaden,11018,2104
Moderna Covid-19 Vaccine,Sjælland,4909,1064
Pfizer BioNTech Covid-19 vacc,Nordjylland,46669,29253
Pfizer BioNTech Covid-19 vacc,Midtjylland,99883,70226
Pfizer BioNTech Covid-19 vacc,Syddanmark,98096,55948
Pfizer BioNTech Covid-19 vacc,Hovedstaden,135787,91355
Pfizer BioNTech Covid-19 vacc,Sjælland,62161,46673
