"Kommunenavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
København,51403,22245,8.0,3.5,638843
Frederiksberg,10742,5330,10.4,5.2,103353
Ballerup,5296,2538,10.8,5.2,49095
Brøndby,3943,1922,11.1,5.4,35398
Dragør,1692,883,11.6,6.1,14569
Gentofte,8410,4350,11.3,5.8,74370
Gladsaxe,7688,3717,11.1,5.4,69192
Glostrup,2969,1688,12.7,7.2,23468
Herlev,3501,1720,12.1,6.0,28830
Albertslund,2801,1618,10.3,5.9,27222
Hvidovre,6206,3268,11.6,6.1,53299
Høje Tåstrup,5244,2969,10.1,5.7,52179
Lyngby-Taarbæk,6478,3568,11.4,6.3,56883
Rødovre,4624,2185,11.2,5.3,41225
Ishøj,2094,1108,9.1,4.8,23078
Tårnby,4662,2300,10.9,5.4,42687
Vallensbæk,1843,1012,11.1,6.1,16566
Furesø,4917,2618,12.0,6.4,40938
Allerød,3096,1569,12.0,6.1,25845
Fredensborg,4873,2478,11.9,6.0,41048
Helsingør,7779,3969,12.3,6.3,63013
Hillerød,6789,3334,13.1,6.4,51726
Hørsholm,3311,1848,13.3,7.4,24825
Rudersdal,7097,3646,12.5,6.4,57003
Egedal,4244,2058,9.7,4.7,43709
Frederikssund,5605,2828,12.3,6.2,45557
Greve,4908,2502,9.7,5.0,50527
Køge,6207,3360,10.1,5.5,61513
Halsnæs,4158,1829,13.2,5.8,31419
Roskilde,9692,5070,10.9,5.7,88765
Solrød,2218,1189,9.4,5.1,23473
Gribskov,5336,2459,13.0,6.0,40985
Odsherred,3968,1984,12.1,6.0,32905
Holbæk,7929,4162,11.0,5.8,71979
Faxe,3726,2039,10.1,5.5,36749
Kalundborg,4945,2566,10.2,5.3,48425
Ringsted,3211,1760,9.2,5.0,34962
Slagelse,8877,4545,11.2,5.7,79248
Stevns,2605,1289,11.2,5.6,23198
Sorø,3479,1654,11.6,5.5,29985
Lejre,3097,1574,10.9,5.6,28295
Lolland,4521,2512,11.2,6.2,40409
Næstved,9149,5278,11.0,6.3,83274
Guldborgsund,7424,3931,12.3,6.5,60325
Vordingborg,4971,2653,11.0,5.9,45224
Bornholm,5097,2408,12.8,6.1,39730
Middelfart,5052,2379,12.9,6.1,39260
Assens,4500,1769,11.0,4.3,40850
Faaborg-Midtfyn,5877,2405,11.4,4.7,51635
Kerteminde,2819,1189,11.8,5.0,23825
Nyborg,3830,1402,12.0,4.4,31952
Odense,22303,9516,10.9,4.6,205072
Svendborg,7955,3976,13.5,6.8,58803
Nordfyn,3231,1246,10.9,4.2,29536
Langeland,1780,744,14.4,6.0,12358
Ærø,952,543,15.9,9.1,5990
Haderslev,5753,2317,10.4,4.2,55325
Billund,2586,1268,9.8,4.8,26505
Sønderborg,8272,3134,11.2,4.2,73793
Tønder,3886,1686,10.5,4.6,37024
Esbjerg,13722,6165,11.9,5.3,115534
Fanø,414,181,12.0,5.2,3448
Varde,5803,2680,11.7,5.4,49663
Vejen,4780,2372,11.2,5.5,42785
Aabenraa,5663,2148,9.7,3.7,58581
Fredericia,6032,2853,11.7,5.6,51379
Horsens,9402,4304,10.2,4.6,92581
Kolding,9385,4477,10.1,4.8,93095
Vejle,12290,5880,10.5,5.0,117497
Herning,9879,5394,11.1,6.0,89273
Holstebro,6787,3522,11.6,6.0,58696
Lemvig,2326,1281,11.9,6.5,19560
Struer,2526,1380,12.1,6.6,20824
Syddjurs,4883,2510,11.3,5.8,43265
Norddjurs,4483,2568,12.1,6.9,36985
Favrskov,4813,2502,9.9,5.2,48478
Odder,2839,1492,12.3,6.5,23012
Randers,11122,5587,11.3,5.7,98311
Silkeborg,10296,5327,10.7,5.6,95921
Samsø,696,457,18.9,12.4,3679
Skanderborg,6425,2885,10.1,4.5,63461
Århus,33869,15857,9.6,4.5,352454
Ikast-Brande,3900,2035,9.4,4.9,41542
Ringkøbing-Skjern,6154,3405,11.0,6.1,56146
Hedensted,4692,2507,10.0,5.4,46834
Morsø,2772,1620,13.8,8.1,20076
Skive,5191,2869,11.4,6.3,45421
Thisted,5098,2350,11.8,5.5,43103
Viborg,11054,6163,11.4,6.4,96657
Brønderslev,4223,2013,11.7,5.6,36139
Frederikshavn,6796,3465,11.5,5.9,58968
Vesthimmerland,4530,2358,12.5,6.5,36347
Læsø,401,180,22.6,10.2,1773
Rebild,3144,1564,10.3,5.1,30494
Mariagerfjord,5019,2264,12.1,5.4,41586
Jammerbugt,4020,1923,10.5,5.0,38163
Aalborg,23877,10911,10.9,5.0,219648
Hjørring,7970,3732,12.4,5.8,64121
