"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16862,0
AstraZeneca Covid-19 vaccine,Midtjylland,33608,1
AstraZeneca Covid-19 vaccine,Syddanmark,30425,247
AstraZeneca Covid-19 vaccine,Hovedstaden,45104,6
AstraZeneca Covid-19 vaccine,Sjælland,23864,331
Moderna Covid-19 Vaccine,Nordjylland,4316,3139
Moderna Covid-19 Vaccine,Midtjylland,9224,1884
Moderna Covid-19 Vaccine,Syddanmark,10077,4153
Moderna Covid-19 Vaccine,Hovedstaden,11194,2113
Moderna Covid-19 Vaccine,Sjælland,6036,1076
Pfizer BioNTech Covid-19 vacc,Nordjylland,49631,35377
Pfizer BioNTech Covid-19 vacc,Midtjylland,108049,79943
Pfizer BioNTech Covid-19 vacc,Syddanmark,102827,67275
Pfizer BioNTech Covid-19 vacc,Hovedstaden,143426,106999
Pfizer BioNTech Covid-19 vacc,Sjælland,69583,51047
