"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,70809,38516,590405
Midtjylland,150881,81828,1333175
Syddanmark,143329,71675,1224028
Hovedstaden,199724,109118,1856132
Sjælland,99483,52454,839329
