"Regionsnavn";"Aldersgruppe";"sex";"Antal første vacc.";"Antal faerdigvacc."
Hovedstaden;0-9;K;17668;12866
Hovedstaden;0-9;M;18798;13687
Hovedstaden;10-19;K;75855;71929
Hovedstaden;10-19;M;78817;74537
Hovedstaden;20-29;K;121554;119209
Hovedstaden;20-29;M;114650;111832
Hovedstaden;30-39;K;111577;109420
Hovedstaden;30-39;M;109241;107096
Hovedstaden;40-49;K;110732;109633
Hovedstaden;40-49;M;107586;106519
Hovedstaden;50-59;K;113918;113294
Hovedstaden;50-59;M;112986;112329
Hovedstaden;60-69;K;90291;90014
Hovedstaden;60-69;M;85796;85482
Hovedstaden;70-79;K;83779;83583
Hovedstaden;70-79;M;70323;70191
Hovedstaden;80-89;K;39065;38954
Hovedstaden;80-89;M;26587;26528
Hovedstaden;90+;K;9062;9018
Hovedstaden;90+;M;3335;3323
Midtjylland;0-9;K;15542;12008
Midtjylland;0-9;M;16576;12795
Midtjylland;10-19;K;65526;63207
Midtjylland;10-19;M;67941;65369
Midtjylland;20-29;K;80655;79331
Midtjylland;20-29;M;82067;80397
Midtjylland;30-39;K;68167;67103
Midtjylland;30-39;M;69463;68332
Midtjylland;40-49;K;76238;75795
Midtjylland;40-49;M;75129;74619
Midtjylland;50-59;K;84465;84178
Midtjylland;50-59;M;85067;84782
Midtjylland;60-69;K;74953;74793
Midtjylland;60-69;M;73218;73069
Midtjylland;70-79;K;65484;65420
Midtjylland;70-79;M;61010;60950
Midtjylland;80-89;K;29883;29826
Midtjylland;80-89;M;23126;23094
Midtjylland;90+;K;6635;6609
Midtjylland;90+;M;3026;3020
Nordjylland;0-9;K;6333;4861
Nordjylland;0-9;M;6632;5045
Nordjylland;10-19;K;27138;26129
Nordjylland;10-19;M;28593;27436
Nordjylland;20-29;K;31863;31248
Nordjylland;20-29;M;35594;34725
Nordjylland;30-39;K;27765;27306
Nordjylland;30-39;M;28996;28447
Nordjylland;40-49;K;31843;31644
Nordjylland;40-49;M;31959;31724
Nordjylland;50-59;K;38010;37861
Nordjylland;50-59;M;38419;38252
Nordjylland;60-69;K;36196;36101
Nordjylland;60-69;M;35598;35518
Nordjylland;70-79;K;32293;32248
Nordjylland;70-79;M;30545;30499
Nordjylland;80-89;K;15138;15117
Nordjylland;80-89;M;11867;11845
Nordjylland;90+;K;3385;3372
Nordjylland;90+;M;1600;1594
Sjælland;0-9;K;7811;6027
Sjælland;0-9;M;8436;6502
Sjælland;10-19;K;38700;37198
Sjælland;10-19;M;41129;39476
Sjælland;20-29;K;30872;30119
Sjælland;20-29;M;33836;32904
Sjælland;30-39;K;36755;35984
Sjælland;30-39;M;35856;35089
Sjælland;40-49;K;49101;48694
Sjælland;40-49;M;46752;46352
Sjælland;50-59;K;59921;59644
Sjælland;50-59;M;60259;60018
Sjælland;60-69;K;53229;53083
Sjælland;60-69;M;51702;51554
Sjælland;70-79;K;50334;50241
Sjælland;70-79;M;45930;45864
Sjælland;80-89;K;21750;21699
Sjælland;80-89;M;16793;16768
Sjælland;90+;K;4424;4400
Sjælland;90+;M;1957;1951
Syddanmark;0-9;K;12964;10255
Syddanmark;0-9;M;13909;11049
Syddanmark;10-19;K;58509;56396
Syddanmark;10-19;M;60700;58448
Syddanmark;20-29;K;58051;56898
Syddanmark;20-29;M;62310;60792
Syddanmark;30-39;K;57187;56165
Syddanmark;30-39;M;57663;56557
Syddanmark;40-49;K;69344;68861
Syddanmark;40-49;M;67405;66829
Syddanmark;50-59;K;81663;81338
Syddanmark;50-59;M;82755;82431
Syddanmark;60-69;K;74397;74227
Syddanmark;60-69;M;73280;73102
Syddanmark;70-79;K;66146;66062
Syddanmark;70-79;M;61417;61332
Syddanmark;80-89;K;32183;32129
Syddanmark;80-89;M;24635;24602
Syddanmark;90+;K;7134;7102
Syddanmark;90+;M;3135;3127
