"Regionsnavn";"Aldersgruppe";"sex";"Antal første vacc.";"Antal færdigvacc."
Hovedstaden;0-9;K;18390;13419
Hovedstaden;0-9;M;19489;14246
Hovedstaden;10-19;K;81145;77333
Hovedstaden;10-19;M;83711;79490
Hovedstaden;20-29;K;122791;120408
Hovedstaden;20-29;M;116147;113313
Hovedstaden;30-39;K;110899;108799
Hovedstaden;30-39;M;108227;106129
Hovedstaden;40-49;K;112742;111640
Hovedstaden;40-49;M;109518;108462
Hovedstaden;50-59;K;113271;112667
Hovedstaden;50-59;M;112442;111805
Hovedstaden;60-69;K;89000;88722
Hovedstaden;60-69;M;84350;84041
Hovedstaden;70-79;K;82127;81946
Hovedstaden;70-79;M;68220;68093
Hovedstaden;80-89;K;35901;35792
Hovedstaden;80-89;M;23484;23424
Hovedstaden;90+;K;7235;7194
Hovedstaden;90+;M;2531;2521
Midtjylland;0-9;K;16233;12610
Midtjylland;0-9;M;17339;13452
Midtjylland;10-19;K;69763;67504
Midtjylland;10-19;M;71753;69249
Midtjylland;20-29;K;79936;78617
Midtjylland;20-29;M;81728;80052
Midtjylland;30-39;K;68397;67333
Midtjylland;30-39;M;69169;68063
Midtjylland;40-49;K;77852;77415
Midtjylland;40-49;M;76950;76451
Midtjylland;50-59;K;84507;84230
Midtjylland;50-59;M;84974;84691
Midtjylland;60-69;K;74438;74282
Midtjylland;60-69;M;72894;72748
Midtjylland;70-79;K;63772;63710
Midtjylland;70-79;M;58961;58902
Midtjylland;80-89;K;27383;27326
Midtjylland;80-89;M;20602;20571
Midtjylland;90+;K;5267;5243
Midtjylland;90+;M;2253;2248
Nordjylland;0-9;K;6608;5112
Nordjylland;0-9;M;6917;5293
Nordjylland;10-19;K;28882;27885
Nordjylland;10-19;M;30318;29173
Nordjylland;20-29;K;31582;30961
Nordjylland;20-29;M;35370;34514
Nordjylland;30-39;K;27938;27491
Nordjylland;30-39;M;28875;28326
Nordjylland;40-49;K;32471;32273
Nordjylland;40-49;M;32626;32391
Nordjylland;50-59;K;38486;38336
Nordjylland;50-59;M;38917;38760
Nordjylland;60-69;K;35826;35734
Nordjylland;60-69;M;35317;35237
Nordjylland;70-79;K;31623;31580
Nordjylland;70-79;M;29719;29675
Nordjylland;80-89;K;13902;13881
Nordjylland;80-89;M;10577;10555
Nordjylland;90+;K;2646;2634
Nordjylland;90+;M;1167;1161
Sjælland;0-9;K;8129;6296
Sjælland;0-9;M;8805;6802
Sjælland;10-19;K;40923;39455
Sjælland;10-19;M;43410;41795
Sjælland;20-29;K;30299;29538
Sjælland;20-29;M;33056;32119
Sjælland;30-39;K;37436;36668
Sjælland;30-39;M;36241;35495
Sjælland;40-49;K;50662;50262
Sjælland;40-49;M;48507;48113
Sjælland;50-59;K;60030;59756
Sjælland;50-59;M;60237;59998
Sjælland;60-69;K;52855;52709
Sjælland;60-69;M;51397;51253
Sjælland;70-79;K;49350;49264
Sjælland;70-79;M;44787;44723
Sjælland;80-89;K;19748;19699
Sjælland;80-89;M;14780;14756
Sjælland;90+;K;3465;3442
Sjælland;90+;M;1430;1424
Syddanmark;0-9;K;13548;10766
Syddanmark;0-9;M;14544;11610
Syddanmark;10-19;K;62099;60042
Syddanmark;10-19;M;64122;61889
Syddanmark;20-29;K;57258;56086
Syddanmark;20-29;M;61583;60071
Syddanmark;30-39;K;57531;56534
Syddanmark;30-39;M;57630;56548
Syddanmark;40-49;K;71255;70767
Syddanmark;40-49;M;69632;69065
Syddanmark;50-59;K;82036;81715
Syddanmark;50-59;M;82842;82523
Syddanmark;60-69;K;73569;73409
Syddanmark;60-69;M;72710;72541
Syddanmark;70-79;K;65161;65077
Syddanmark;70-79;M;59979;59894
Syddanmark;80-89;K;29464;29410
Syddanmark;80-89;M;21857;21824
Syddanmark;90+;K;5657;5627
Syddanmark;90+;M;2310;2304
