"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;499767;490972;591789
Midtjylland;1124171;1104697;1343192
Syddanmark;1024787;1007702;1228778
Hovedstaden;1501620;1469444;1869596
Sjælland;695547;683567;843801
