"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
00-02;K;7;2;90736;0.0;0.0
00-02;M;1;0;95734;0.0;0.0
03-05;K;7887;5423;91158;8.7;5.9
03-05;M;8573;5860;96393;8.9;6.1
06-11;K;89905;72148;178838;50.3;40.3
06-11;M;94886;76194;187965;50.5;40.5
12-15;K;106989;103567;132699;80.6;78.0
12-15;M;112880;109211;140276;80.5;77.9
16-19;K;121258;119736;134122;90.4;89.3
16-19;M;125191;123079;140377;89.2;87.7
20-39;K;624446;612783;733886;85.1;83.5
20-39;M;629676;616171;764364;82.4;80.6
40-64;K;884926;880137;946061;93.5;93.0
40-64;M;875375;870396;947402;92.4;91.9
65-79;K;457411;456577;470955;97.1;96.9
65-79;M;421761;421020;433688;97.2;97.1
80+;K;168659;168226;173757;97.1;96.8
80+;M;116061;115852;118745;97.7;97.6
