"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
København;508352;497131;358696;78.7;77.0;55.6;645597
Frederiksberg;86746;85109;65126;83.7;82.1;62.8;103649
Ballerup;39041;38182;28819;79.2;77.5;58.5;49296
Brøndby;25886;25140;18145;72.3;70.2;50.7;35800
Dragør;12264;11981;9163;84.0;82.1;62.8;14600
Gentofte;62257;61033;46277;83.8;82.2;62.3;74252
Gladsaxe;55557;54291;39849;80.2;78.4;57.5;69279
Glostrup;18257;17838;13064;77.8;76.0;55.7;23467
Herlev;22655;22089;16337;78.6;76.7;56.7;28815
Albertslund;20643;19999;13998;74.8;72.4;50.7;27605
Hvidovre;41502;40392;29319;78.0;75.9;55.1;53184
Høje Tåstrup;39742;38745;27761;74.7;72.8;52.2;53206
Lyngby-Taarbæk;48626;47549;36063;84.1;82.2;62.4;57825
Rødovre;32139;31317;22883;77.5;75.6;55.2;41444
Ishøj;16184;15691;10654;69.6;67.5;45.8;23259
Tårnby;34258;33504;24887;80.2;78.4;58.3;42722
Vallensbæk;12564;12241;8811;76.0;74.1;53.3;16530
Furesø;34239;33524;25457;82.7;81.0;61.5;41406
Allerød;22010;21623;16672;85.1;83.6;64.5;25853
Fredensborg;33580;32949;25236;81.4;79.9;61.2;41251
Helsingør;51707;50750;39462;82.3;80.7;62.8;62852
Hillerød;44098;43298;32989;82.7;81.2;61.9;53321
Hørsholm;21110;20755;16362;85.4;84.0;66.2;24714
Rudersdal;48460;47541;36729;84.6;83.0;64.2;57249
Egedal;36975;36323;27230;83.2;81.7;61.3;44452
Frederikssund;38521;37835;29336;84.1;82.6;64.0;45802
Greve;40780;39964;29959;80.2;78.6;58.9;50851
Køge;50468;49453;37601;81.8;80.2;61.0;61685
Halsnæs;26003;25501;20055;83.0;81.4;64.0;31346
Roskilde;75130;73829;56355;83.9;82.4;62.9;89581
Solrød;19500;19133;14385;81.9;80.3;60.4;23820
Gribskov;34182;33604;26576;83.0;81.6;64.5;41172
Odsherred;27645;27257;21901;84.2;83.1;66.7;32816
Holbæk;60729;59697;45519;83.3;81.9;62.4;72926
