"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
00-02;K;8;2;90737;0.0;0.0
00-02;M;1;0;95734;0.0;0.0
03-05;K;9253;6415;92524;10.0;6.9
03-05;M;10081;6958;97901;10.3;7.1
06-11;K;92018;74221;180951;50.9;41.0
06-11;M;97093;78419;190172;51.1;41.2
12-15;K;120025;116912;145735;82.4;80.2
12-15;M;126068;122648;153464;82.1;79.9
16-19;K;124416;122872;137280;90.6;89.5
16-19;M;127165;124974;142351;89.3;87.8
20-39;K;624067;612435;733507;85.1;83.5
20-39;M;628026;614630;762714;82.3;80.6
40-64;K;891486;886745;952621;93.6;93.1
40-64;M;882700;877807;954727;92.5;91.9
65-79;K;449547;448749;463091;97.1;96.9
65-79;M;412279;411559;424206;97.2;97.0
80+;K;150668;150248;155766;96.7;96.5
80+;M;100991;100788;103675;97.4;97.2
