Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  21.859 (49);  23.061 (51);  44.920
10-19;  39.449 (50);  40.198 (50);  79.647
20-29;  44.396 (49);  45.883 (51);  90.279
30-39;  32.650 (51);  31.596 (49);  64.246
40-49;  33.947 (52);  30.772 (48);  64.719
50-59;  27.707 (50);  27.294 (50);  55.001
60-69;  14.656 (49);  15.244 (51);  29.900
70-79;   9.320 (49);   9.530 (51);  18.850
80-89;   4.598 (56);   3.603 (44);   8.201
90+;   1.556 (70);     682 (30);   2.238
I alt; 230.138 (50); 227.863 (50); 458.001
