Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     130 (52);     118 (48);     248
10-19;     268 (54);     224 (46);     492
20-29;     945 (62);     572 (38);   1.517
30-39;     975 (61);     614 (39);   1.589
40-49;   1.186 (60);     789 (40);   1.975
50-59;   1.217 (60);     819 (40);   2.036
60-69;     648 (50);     658 (50);   1.306
70-79;     431 (45);     519 (55);     950
80-89;     433 (57);     328 (43);     761
90+;     176 (72);      67 (28);     243
I alt;   6.409 (58);   4.708 (42);  11.117
