"Regionsnavn";"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc."
Hovedstaden;00-02;K;3;0
Hovedstaden;00-02;M;0;0
Hovedstaden;03-05;K;2285;1507
Hovedstaden;03-05;M;2466;1644
Hovedstaden;06-11;K;25820;20054
Hovedstaden;06-11;M;27013;20955
Hovedstaden;12-15;K;30619;29437
Hovedstaden;12-15;M;32523;31264
Hovedstaden;16-19;K;34556;33976
Hovedstaden;16-19;M;35353;34605
Hovedstaden;20-39;K;233184;228796
Hovedstaden;20-39;M;223950;219118
Hovedstaden;40-64;K;271922;270098
Hovedstaden;40-64;M;267145;265281
Hovedstaden;65-79;K;126848;126545
Hovedstaden;65-79;M;109497;109250
Hovedstaden;80+;K;48135;47994
Hovedstaden;80+;M;30005;29939
Midtjylland;00-02;K;2;1
Midtjylland;00-02;M;1;0
Midtjylland;03-05;K;1939;1370
Midtjylland;03-05;M;2119;1495
Midtjylland;06-11;K;23063;19089
Midtjylland;06-11;M;24412;20242
Midtjylland;12-15;K;26189;25503
Midtjylland;12-15;M;27319;26546
Midtjylland;16-19;K;29608;29334
Midtjylland;16-19;M;30406;30036
Midtjylland;20-39;K;148799;146582
Midtjylland;20-39;M;151527;148839
Midtjylland;40-64;K;199162;198375
Midtjylland;40-64;M;197857;197014
Midtjylland;65-79;K;102010;101886
Midtjylland;65-79;M;96579;96455
Midtjylland;80+;K;36564;36490
Midtjylland;80+;M;26139;26101
Nordjylland;00-02;K;0;0
Nordjylland;00-02;M;0;0
Nordjylland;03-05;K;768;548
Nordjylland;03-05;M;839;589
Nordjylland;06-11;K;9357;7703
Nordjylland;06-11;M;9733;7951
Nordjylland;12-15;K;10908;10584
Nordjylland;12-15;M;11598;11232
Nordjylland;16-19;K;12334;12216
Nordjylland;16-19;M;12933;12738
Nordjylland;20-39;K;59644;58615
Nordjylland;20-39;M;64578;63196
Nordjylland;40-64;K;88469;88090
Nordjylland;40-64;M;88709;88286
Nordjylland;65-79;K;49816;49729
Nordjylland;65-79;M;47770;47697
Nordjylland;80+;K;18548;18521
Nordjylland;80+;M;13498;13474
Sjælland;00-02;K;0;0
Sjælland;00-02;M;0;0
Sjælland;03-05;K;988;709
Sjælland;03-05;M;1084;760
Sjælland;06-11;K;11825;9714
Sjælland;06-11;M;12600;10399
Sjælland;12-15;K;15703;15286
Sjælland;12-15;M;16670;16204
Sjælland;16-19;K;17878;17667
Sjælland;16-19;M;19070;18756
Sjælland;20-39;K;67655;66196
Sjælland;20-39;M;69743;68100
Sjælland;40-64;K;136299;135546
Sjælland;40-64;M;133695;132986
Sjælland;65-79;K;76268;76142
Sjælland;65-79;M;70890;70769
Sjælland;80+;K;26225;26156
Sjælland;80+;M;18768;18744
Syddanmark;00-02;K;2;1
Syddanmark;00-02;M;0;0
Syddanmark;03-05;K;1557;1152
Syddanmark;03-05;M;1674;1244
Syddanmark;06-11;K;19487;16369
Syddanmark;06-11;M;20694;17458
Syddanmark;12-15;K;23353;22691
Syddanmark;12-15;M;24561;23879
Syddanmark;16-19;K;26865;26569
Syddanmark;16-19;M;27418;26998
Syddanmark;20-39;K;115342;113267
Syddanmark;20-39;M;120095;117562
Syddanmark;40-64;K;188855;187991
Syddanmark;40-64;M;187757;186772
Syddanmark;65-79;K;102567;102424
Syddanmark;65-79;M;96993;96863
Syddanmark;80+;K;39335;39262
Syddanmark;80+;M;27819;27783
