"Regionsnavn";"Aldersgruppe";"sex";"Antal første vacc.";"Antal færdigvacc."
Hovedstaden;0-9;K;18427;13688
Hovedstaden;0-9;M;19521;14544
Hovedstaden;10-19;K;81249;77619
Hovedstaden;10-19;M;83788;79795
Hovedstaden;20-29;K;122911;120568
Hovedstaden;20-29;M;116239;113488
Hovedstaden;30-39;K;110875;108850
Hovedstaden;30-39;M;108211;106165
Hovedstaden;40-49;K;112737;111678
Hovedstaden;40-49;M;109504;108484
Hovedstaden;50-59;K;113264;112673
Hovedstaden;50-59;M;112429;111799
Hovedstaden;60-69;K;88960;88691
Hovedstaden;60-69;M;84288;83998
Hovedstaden;70-79;K;82022;81849
Hovedstaden;70-79;M;68107;67983
Hovedstaden;80-89;K;35780;35683
Hovedstaden;80-89;M;23366;23309
Hovedstaden;90+;K;7147;7108
Hovedstaden;90+;M;2499;2491
Midtjylland;0-9;K;16244;12819
Midtjylland;0-9;M;17348;13710
Midtjylland;10-19;K;69811;67702
Midtjylland;10-19;M;71797;69454
Midtjylland;20-29;K;79909;78700
Midtjylland;20-29;M;81730;80116
Midtjylland;30-39;K;68401;67397
Midtjylland;30-39;M;69166;68114
Midtjylland;40-49;K;77867;77449
Midtjylland;40-49;M;76938;76452
Midtjylland;50-59;K;84495;84230
Midtjylland;50-59;M;84956;84688
Midtjylland;60-69;K;74420;74274
Midtjylland;60-69;M;72859;72722
Midtjylland;70-79;K;63719;63661
Midtjylland;70-79;M;58876;58819
Midtjylland;80-89;K;27271;27220
Midtjylland;80-89;M;20480;20450
Midtjylland;90+;K;5199;5178
Midtjylland;90+;M;2209;2203
Nordjylland;0-9;K;6624;5212
Nordjylland;0-9;M;6924;5391
Nordjylland;10-19;K;28885;27967
Nordjylland;10-19;M;30327;29243
Nordjylland;20-29;K;31590;31004
Nordjylland;20-29;M;35347;34512
Nordjylland;30-39;K;27950;27515
Nordjylland;30-39;M;28883;28349
Nordjylland;40-49;K;32469;32278
Nordjylland;40-49;M;32616;32395
Nordjylland;50-59;K;38486;38348
Nordjylland;50-59;M;38913;38766
Nordjylland;60-69;K;35809;35718
Nordjylland;60-69;M;35294;35217
Nordjylland;70-79;K;31579;31538
Nordjylland;70-79;M;29676;29636
Nordjylland;80-89;K;13850;13833
Nordjylland;80-89;M;10526;10508
Nordjylland;90+;K;2602;2593
Nordjylland;90+;M;1152;1146
Sjælland;0-9;K;8155;6449
Sjælland;0-9;M;8828;6983
Sjælland;10-19;K;40940;39611
Sjælland;10-19;M;43429;41937
Sjælland;20-29;K;30309;29577
Sjælland;20-29;M;33039;32131
Sjælland;30-39;K;37467;36735
Sjælland;30-39;M;36271;35552
Sjælland;40-49;K;50657;50276
Sjælland;40-49;M;48527;48139
Sjælland;50-59;K;60044;59774
Sjælland;50-59;M;60243;60015
Sjælland;60-69;K;52847;52712
Sjælland;60-69;M;51377;51241
Sjælland;70-79;K;49318;49244
Sjælland;70-79;M;44704;44641
Sjælland;80-89;K;19687;19640
Sjælland;80-89;M;14697;14680
Sjælland;90+;K;3417;3398
Sjælland;90+;M;1405;1399
Syddanmark;0-9;K;13567;10964
Syddanmark;0-9;M;14563;11819
Syddanmark;10-19;K;62123;60224
Syddanmark;10-19;M;64155;62073
Syddanmark;20-29;K;57282;56155
Syddanmark;20-29;M;61597;60124
Syddanmark;30-39;K;57563;56622
Syddanmark;30-39;M;57662;56629
Syddanmark;40-49;K;71263;70789
Syddanmark;40-49;M;69649;69094
Syddanmark;50-59;K;82028;81729
Syddanmark;50-59;M;82827;82524
Syddanmark;60-69;K;73524;73378
Syddanmark;60-69;M;72666;72509
Syddanmark;70-79;K;65085;65008
Syddanmark;70-79;M;59873;59802
Syddanmark;80-89;K;29346;29303
Syddanmark;80-89;M;21744;21714
Syddanmark;90+;K;5582;5554
Syddanmark;90+;M;2275;2271
