"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;499502;491169;591701
Midtjylland;1123695;1105358;1343538
Syddanmark;1024374;1008285;1228940
Hovedstaden;1501324;1470463;1870891
Sjælland;695361;684134;843821
