"Regionsnavn";"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc."
Hovedstaden;00-02;K;3;0
Hovedstaden;00-02;M;0;0
Hovedstaden;03-05;K;2804;1871
Hovedstaden;03-05;M;3017;2026
Hovedstaden;06-11;K;26465;20675
Hovedstaden;06-11;M;27750;21696
Hovedstaden;12-15;K;34336;33297
Hovedstaden;12-15;M;36305;35138
Hovedstaden;16-19;K;36068;35464
Hovedstaden;16-19;M;36237;35479
Hovedstaden;20-39;K;233786;229418
Hovedstaden;20-39;M;224450;219653
Hovedstaden;40-64;K;272524;270724
Hovedstaden;40-64;M;267802;265974
Hovedstaden;65-79;K;124459;124167
Hovedstaden;65-79;M;106526;106290
Hovedstaden;80+;K;42927;42791
Hovedstaden;80+;M;25865;25800
Midtjylland;00-02;K;3;1
Midtjylland;00-02;M;1;0
Midtjylland;03-05;K;2374;1690
Midtjylland;03-05;M;2628;1867
Midtjylland;06-11;K;23753;19795
Midtjylland;06-11;M;25054;20903
Midtjylland;12-15;K;29454;28842
Midtjylland;12-15;M;30635;29944
Midtjylland;16-19;K;30471;30193
Midtjylland;16-19;M;30827;30450
Midtjylland;20-39;K;148310;146097
Midtjylland;20-39;M;150896;148230
Midtjylland;40-64;K;200532;199762
Midtjylland;40-64;M;199515;198687
Midtjylland;65-79;K;99969;99852
Midtjylland;65-79;M;94114;93994
Midtjylland;80+;K;32470;32398
Midtjylland;80+;M;22689;22653
Nordjylland;00-02;K;0;0
Nordjylland;00-02;M;0;0
Nordjylland;03-05;K;961;689
Nordjylland;03-05;M;1030;730
Nordjylland;06-11;K;9627;7988
Nordjylland;06-11;M;10016;8235
Nordjylland;12-15;K;12262;11957
Nordjylland;12-15;M;13069;12738
Nordjylland;16-19;K;12659;12545
Nordjylland;16-19;M;13136;12931
Nordjylland;20-39;K;59540;58519
Nordjylland;20-39;M;64230;62861
Nordjylland;40-64;K;89392;89014
Nordjylland;40-64;M;89711;89294
Nordjylland;65-79;K;48951;48868
Nordjylland;65-79;M;46788;46720
Nordjylland;80+;K;16452;16426
Nordjylland;80+;M;11678;11654
Sjælland;00-02;K;0;0
Sjælland;00-02;M;0;0
Sjælland;03-05;K;1215;866
Sjælland;03-05;M;1346;965
Sjælland;06-11;K;12189;10087
Sjælland;06-11;M;12995;10784
Sjælland;12-15;K;17821;17448
Sjælland;12-15;M;18758;18344
Sjælland;16-19;K;17870;17659
Sjælland;16-19;M;19158;18827
Sjælland;20-39;K;67776;66312
Sjælland;20-39;M;69310;67683
Sjælland;40-64;K;137923;137185
Sjælland;40-64;M;135454;134757
Sjælland;65-79;K;74943;74821
Sjælland;65-79;M;69397;69279
Sjælland;80+;K;23104;23038
Sjælland;80+;M;16102;16079
Syddanmark;00-02;K;2;1
Syddanmark;00-02;M;0;0
Syddanmark;03-05;K;1937;1454
Syddanmark;03-05;M;2086;1563
Syddanmark;06-11;K;20130;16997
Syddanmark;06-11;M;21392;18179
Syddanmark;12-15;K;26208;25614
Syddanmark;12-15;M;27388;26745
Syddanmark;16-19;K;27413;27122
Syddanmark;16-19;M;27852;27405
Syddanmark;20-39;K;114845;112777
Syddanmark;20-39;M;119259;116753
Syddanmark;40-64;K;191061;190197
Syddanmark;40-64;M;190089;189132
Syddanmark;65-79;K;100839;100707
Syddanmark;65-79;M;94926;94797
Syddanmark;80+;K;34928;34857
Syddanmark;80+;M;24019;23985
