"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;59733;46352;297767;20.1;15.6
0-9;M;63779;49549;314518;20.3;15.8
10-19;K;265376;255128;329579;80.5;77.4
10-19;M;276707;265446;346006;80.0;76.7
20-29;K;322994;317072;383749;84.2;82.6
20-29;M;328524;320953;399571;82.2;80.3
30-39;K;301630;296384;351389;85.8;84.3
30-39;M;301369;295862;365581;82.4;80.9
40-49;K;336938;334411;367034;91.8;91.1
40-49;M;328509;325792;367450;89.4;88.7
50-59;K;377935;376324;401223;94.2;93.8
50-59;M;379385;377775;405054;93.7;93.3
60-69;K;329266;328464;342805;96.1;95.8
60-69;M;319827;319001;332717;96.1;95.9
70-79;K;298077;297627;305895;97.4;97.3
70-79;M;269171;268805;275800;97.6;97.5
80-89;K;138250;137993;142042;97.3;97.1
80-89;M;103189;103036;105477;97.8;97.7
90+;K;30557;30430;31828;96.0;95.6
90+;M;13040;13005;13406;97.3;97.0
