"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
00-02;K;7;2;90681;0.0;0.0
00-02;M;1;0;95655;0.0;0.0
03-05;K;7537;5286;91115;8.3;5.8
03-05;M;8182;5732;96305;8.5;6.0
06-11;K;89552;72929;178687;50.1;40.8
06-11;M;94452;77005;187816;50.3;41.0
12-15;K;106772;103501;132756;80.4;78.0
12-15;M;112671;109125;140307;80.3;77.8
16-19;K;121241;119762;134107;90.4;89.3
16-19;M;125180;123133;140441;89.1;87.7
20-39;K;624624;613456;735138;85.0;83.4
20-39;M;629893;616815;765152;82.3;80.6
40-64;K;884707;880100;945926;93.5;93.0
40-64;M;875163;870339;947380;92.4;91.9
65-79;K;457509;456726;471031;97.1;97.0
65-79;M;421729;421034;433641;97.3;97.1
80+;K;168807;168423;173870;97.1;96.9
80+;M;116229;116041;118883;97.8;97.6
