"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
København;508181;497417;362765;78.6;76.9;56.1;646434
Frederiksberg;86770;85202;65683;83.6;82.1;63.3;103750
Ballerup;39052;38236;28981;79.2;77.5;58.7;49338
Brøndby;25869;25159;18258;72.3;70.3;51.0;35769
Dragør;12250;11974;9194;84.0;82.1;63.0;14588
Gentofte;62224;61033;46507;83.8;82.2;62.6;74244
Gladsaxe;55515;54305;40112;80.1;78.4;57.9;69276
Glostrup;18261;17857;13149;77.7;76.0;56.0;23489
Herlev;22647;22098;16418;78.6;76.7;57.0;28815
Albertslund;20620;20009;14107;74.7;72.5;51.1;27599
Hvidovre;41498;40446;29487;78.0;76.0;55.4;53203
Høje Tåstrup;39840;38883;27988;74.7;72.9;52.5;53343
Lyngby-Taarbæk;48615;47577;36267;83.9;82.1;62.6;57918
Rødovre;32149;31368;23009;77.5;75.6;55.5;41484
Ishøj;16196;15701;10711;69.6;67.5;46.0;23263
Tårnby;34266;33551;25040;80.2;78.5;58.6;42733
Vallensbæk;12547;12239;8855;76.0;74.1;53.6;16515
Furesø;34230;33533;25581;82.6;81.0;61.8;41419
Allerød;22006;21633;16744;85.1;83.7;64.8;25858
Fredensborg;33585;32987;25324;81.4;79.9;61.4;41268
Helsingør;51704;50791;39634;82.2;80.8;63.0;62877
Hillerød;44085;43314;33169;82.7;81.3;62.2;53307
Hørsholm;21094;20761;16425;85.3;84.0;66.5;24715
Rudersdal;48423;47536;36862;84.6;83.0;64.4;57238
Egedal;36977;36351;27347;83.2;81.7;61.5;44469
Frederikssund;38511;37861;29472;84.1;82.6;64.3;45817
Greve;40786;40015;30115;80.1;78.6;59.2;50892
Køge;50471;49522;37822;81.8;80.3;61.3;61695
Halsnæs;25997;25506;20124;82.9;81.3;64.2;31355
Roskilde;75087;73845;56621;83.8;82.5;63.2;89558
Solrød;19503;19150;14475;81.8;80.3;60.7;23838
Gribskov;34169;33620;26671;83.0;81.7;64.8;41169
Odsherred;27639;27273;21979;84.2;83.1;67.0;32816
Holbæk;60736;59792;45812;83.3;82.0;62.8;72944
Faxe;30445;29924;23157;81.9;80.5;62.3;37152
Kalundborg;39787;39177;30630;82.3;81.0;63.3;48373
Ringsted;28229;27753;21071;80.1;78.8;59.8;35230
Slagelse;65053;63912;49312;81.6;80.2;61.9;79712
Stevns;19503;19182;15129;82.9;81.5;64.3;23531
Sorø;25158;24806;19168;83.9;82.7;63.9;29978
Lejre;23708;23354;18087;83.0;81.8;63.3;28553
Lolland;32809;32330;25641;82.0;80.8;64.1;40024
Næstved;69320;68257;52592;82.5;81.3;62.6;83988
Guldborgsund;49700;49018;38631;82.5;81.4;64.1;60255
Vordingborg;37427;36824;29035;82.7;81.3;64.1;45282
Bornholm;34043;33515;27235;85.9;84.6;68.7;39638
Middelfart;33921;33431;26370;85.6;84.3;66.5;39639
Assens;34961;34429;26843;85.4;84.1;65.6;40930
Faaborg-Midtfyn;44257;43565;33883;85.3;83.9;65.3;51894
Kerteminde;20516;20176;15890;85.4;84.0;66.2;24010
Nyborg;27521;27107;21218;85.8;84.5;66.1;32090
Odense;172270;169279;128682;83.6;82.1;62.4;206141
Svendborg;50590;49856;38780;85.4;84.2;65.5;59213
Nordfyn;24977;24559;19028;84.0;82.6;64.0;29734
Langeland;10558;10438;8635;85.8;84.9;70.2;12300
Ærø;5265;5181;4391;87.5;86.1;73.0;6016
Haderslev;45628;44908;34338;82.5;81.2;62.1;55292
Billund;22189;21860;16866;83.1;81.9;63.2;26699
Sønderborg;61646;60727;47329;83.6;82.4;64.2;73732
Tønder;29941;29486;22788;81.4;80.1;61.9;36800
Esbjerg;95713;94236;72003;82.9;81.6;62.4;115472
Fanø;2964;2929;2409;86.7;85.6;70.4;3420
Varde;41189;40521;31427;82.9;81.6;63.3;49664
Vejen;34946;34340;25963;82.0;80.6;61.0;42597
Aabenraa;47237;46592;35967;80.5;79.4;61.3;58693
Fredericia;43093;42410;32883;83.4;82.1;63.7;51644
Horsens;77130;75913;57122;81.3;80.0;60.2;94908
Kolding;77004;75826;56605;82.2;81.0;60.4;93659
Vejle;97988;96429;72335;82.1;80.8;60.6;119301
Herning;74698;73531;55609;83.6;82.3;62.2;89337
Holstebro;49451;48647;36987;84.4;83.1;63.2;58563
Lemvig;16547;16349;13034;85.4;84.4;67.3;19375
Struer;17848;17579;13736;85.9;84.6;66.1;20770
Syddjurs;36951;36407;28843;84.6;83.3;66.0;43695
Norddjurs;31264;30809;24531;84.7;83.5;66.5;36911
Favrskov;41403;40720;30824;84.6;83.2;63.0;48942
Odder;19999;19707;15719;85.6;84.3;67.3;23365
Randers;82575;81258;62303;83.3;82.0;62.9;99078
Silkeborg;81042;79663;61013;83.0;81.6;62.5;97665
Samsø;3246;3214;2671;87.5;86.7;72.0;3708
Skanderborg;53948;52950;40487;83.7;82.2;62.8;64447
Århus;295899;290486;223458;83.2;81.7;62.8;355611
Ikast-Brande;34364;33857;25474;82.0;80.8;60.8;41922
Ringkøbing-Skjern;46925;46219;35566;83.5;82.2;63.3;56222
Hedensted;39598;39082;29985;84.0;82.9;63.6;47161
Morsø;17048;16744;12991;85.0;83.5;64.8;20059
Skive;38776;38227;29584;86.1;84.9;65.7;45026
Thisted;36344;35773;27896;84.4;83.0;64.7;43087
Viborg;82031;80740;61145;84.7;83.4;63.1;96832
Brønderslev;30546;30034;22881;84.2;82.8;63.1;36271
Frederikshavn;50163;49449;39256;85.3;84.1;66.7;58820
Vesthimmerland;30049;29578;22854;82.9;81.6;63.0;36267
Læsø;1537;1521;1313;86.2;85.3;73.6;1783
Rebild;25472;25013;18971;83.0;81.5;61.8;30675
Mariagerfjord;35231;34578;26928;84.6;83.0;64.7;41642
Jammerbugt;32310;31741;24745;84.7;83.2;64.8;38161
Aalborg;186338;183081;140056;84.3;82.8;63.3;221137
Hjørring;54464;53657;41521;85.4;84.1;65.1;63799
