"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
00-02;K;8;2;90682;0.0;0.0
00-02;M;1;0;95655;0.0;0.0
03-05;K;9291;6570;92869;10.0;7.1
03-05;M;10107;7151;98230;10.3;7.3
06-11;K;92164;75542;181299;50.8;41.7
06-11;M;97207;79797;190571;51.0;41.9
12-15;K;120081;117158;146065;82.2;80.2
12-15;M;126155;122909;153791;82.0;79.9
16-19;K;124481;122983;137347;90.6;89.5
16-19;M;127210;125092;142471;89.3;87.8
20-39;K;624257;613123;734771;85.0;83.4
20-39;M;628145;615180;763404;82.3;80.6
40-64;K;891432;886882;952651;93.6;93.1
40-64;M;882571;877844;954788;92.4;91.9
65-79;K;449161;448415;462683;97.1;96.9
65-79;M;411751;411080;423663;97.2;97.0
80+;K;149881;149510;154944;96.7;96.5
80+;M;100353;100171;103007;97.4;97.2
