"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
Nordjylland;499502;491169;379412;84.4;83.0;64.1;591701
Midtjylland;1123695;1105358;848091;83.6;82.3;63.1;1343538
Syddanmark;1024374;1008285;774633;83.4;82.0;63.0;1228940
Hovedstaden;1501324;1470463;1101119;80.2;78.6;58.9;1870891
Sjælland;695361;684134;529277;82.4;81.1;62.7;843821
