"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;63017;49132;301051;20.9;16.3
0-9;M;67184;52447;317923;21.1;16.5
10-19;K;283008;273123;347211;81.5;78.7
10-19;M;293496;282502;362795;80.9;77.9
20-29;K;322001;316004;382756;84.1;82.6
20-29;M;327952;320371;398999;82.2;80.3
30-39;K;302256;297119;352015;85.9;84.4
30-39;M;300193;294809;364405;82.4;80.9
40-49;K;344993;342470;375089;92.0;91.3
40-49;M;337234;334564;376175;89.6;88.9
50-59;K;378317;376754;401605;94.2;93.8
50-59;M;379368;377792;405037;93.7;93.3
60-69;K;325560;324773;339099;96.0;95.8
60-69;M;316484;315687;329374;96.1;95.8
70-79;K;291723;291300;299541;97.4;97.2
70-79;M;261236;260881;267865;97.5;97.4
80-89;K;125934;125679;129726;97.1;96.9
80-89;M;90813;90661;93101;97.5;97.4
90+;K;23947;23831;25218;95.0;94.5
90+;M;9540;9510;9906;96.3;96.0
