"Dato";"Region";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Samlet antal 1. stik";"Samlet antal 2. stik";"Samlet antal 3. stik";"Samlet dækning 1. stik (%)";"Samlet dækning 2. stik (%)";"Samlet dækning 3. stik (%)"
2020-12-08;Nordjylland;1;0;0;591967;1;0;0;0.00;0.00;0.00
2020-12-11;Nordjylland;1;0;0;591967;2;0;0;0.00;0.00;0.00
2020-12-16;Hovedstaden;1;0;0;1873614;1;0;0;0.00;0.00;0.00
2020-12-17;Hovedstaden;1;0;0;1873614;2;0;0;0.00;0.00;0.00
2020-12-18;Hovedstaden;1;0;0;1873614;3;0;0;0.00;0.00;0.00
2020-12-18;Sjælland;1;0;0;844962;1;0;0;0.00;0.00;0.00
2020-12-19;Hovedstaden;1;0;0;1873614;4;0;0;0.00;0.00;0.00
2020-12-20;Hovedstaden;1;0;0;1873614;5;0;0;0.00;0.00;0.00
2020-12-21;Hovedstaden;2;0;0;1873614;7;0;0;0.00;0.00;0.00
2020-12-21;Midtjylland;1;0;0;1345651;1;0;0;0.00;0.00;0.00
2020-12-22;Hovedstaden;1;0;0;1873614;8;0;0;0.00;0.00;0.00
2020-12-22;Midtjylland;2;0;0;1345651;3;0;0;0.00;0.00;0.00
2020-12-22;Syddanmark;2;0;0;1230444;2;0;0;0.00;0.00;0.00
2020-12-23;Hovedstaden;2;0;0;1873614;10;0;0;0.00;0.00;0.00
2020-12-23;Midtjylland;2;0;0;1345651;5;0;0;0.00;0.00;0.00
2020-12-24;Hovedstaden;3;0;0;1873614;13;0;0;0.00;0.00;0.00
2020-12-24;Sjælland;1;0;0;844962;2;0;0;0.00;0.00;0.00
2020-12-26;Hovedstaden;3;0;0;1873614;16;0;0;0.00;0.00;0.00
2020-12-26;Sjælland;2;0;0;844962;4;0;0;0.00;0.00;0.00
2020-12-27;Hovedstaden;1550;0;0;1873614;1566;0;0;0.08;0.00;0.00
2020-12-27;Midtjylland;1688;0;0;1345651;1693;0;0;0.13;0.00;0.00
2020-12-27;Nordjylland;928;0;0;591967;930;0;0;0.16;0.00;0.00
2020-12-27;Sjælland;1143;0;0;844962;1147;0;0;0.14;0.00;0.00
2020-12-27;Syddanmark;392;0;0;1230444;394;0;0;0.03;0.00;0.00
2020-12-28;Hovedstaden;461;0;0;1873614;2027;0;0;0.11;0.00;0.00
2020-12-28;Midtjylland;194;0;0;1345651;1887;0;0;0.14;0.00;0.00
2020-12-28;Nordjylland;105;0;0;591967;1035;0;0;0.17;0.00;0.00
2020-12-28;Sjælland;553;0;0;844962;1700;0;0;0.20;0.00;0.00
2020-12-28;Syddanmark;583;0;0;1230444;977;0;0;0.08;0.00;0.00
2020-12-29;Hovedstaden;3340;0;0;1873614;5367;0;0;0.29;0.00;0.00
2020-12-29;Midtjylland;982;0;0;1345651;2869;0;0;0.21;0.00;0.00
2020-12-29;Nordjylland;262;1;0;591967;1297;1;0;0.22;0.00;0.00
2020-12-29;Sjælland;1769;0;0;844962;3469;0;0;0.41;0.00;0.00
2020-12-29;Syddanmark;1712;0;0;1230444;2689;0;0;0.22;0.00;0.00
2020-12-30;Hovedstaden;3348;0;0;1873614;8715;0;0;0.47;0.00;0.00
2020-12-30;Midtjylland;1144;0;0;1345651;4013;0;0;0.30;0.00;0.00
2020-12-30;Nordjylland;1990;0;0;591967;3287;1;0;0.56;0.00;0.00
2020-12-30;Sjælland;1697;0;0;844962;5166;0;0;0.61;0.00;0.00
2020-12-30;Syddanmark;2173;0;0;1230444;4862;0;0;0.40;0.00;0.00
2020-12-31;Hovedstaden;1511;0;0;1873614;10226;0;0;0.55;0.00;0.00
2020-12-31;Midtjylland;983;0;0;1345651;4996;0;0;0.37;0.00;0.00
2020-12-31;Nordjylland;577;0;0;591967;3864;1;0;0.65;0.00;0.00
2020-12-31;Sjælland;1130;0;0;844962;6296;0;0;0.75;0.00;0.00
2020-12-31;Syddanmark;1170;0;0;1230444;6032;0;0;0.49;0.00;0.00
2021-01-01;Hovedstaden;1056;0;0;1873614;11282;0;0;0.60;0.00;0.00
2021-01-01;Midtjylland;127;0;0;1345651;5123;0;0;0.38;0.00;0.00
2021-01-01;Nordjylland;8;0;0;591967;3872;1;0;0.65;0.00;0.00
2021-01-01;Sjælland;282;0;0;844962;6578;0;0;0.78;0.00;0.00
2021-01-01;Syddanmark;570;0;0;1230444;6602;0;0;0.54;0.00;0.00
2021-01-02;Hovedstaden;1980;0;0;1873614;13262;0;0;0.71;0.00;0.00
