"Region";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Dækning 1. stik (%)";"Dækning 2. stik (%)";"Dækning 3. stik (%)"
Hovedstaden;1499675;1467973;1097153;1873614;80.0;78.3;58.6
Midtjylland;1122439;1104074;845987;1345651;83.4;82.0;62.9
Nordjylland;498547;490140;377827;591967;84.2;82.8;63.8
Sjælland;694694;683623;529956;844962;82.2;80.9;62.7
Syddanmark;1022730;1006639;773134;1230444;83.1;81.8;62.8
