"Aldersgruppe";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Dækning 1. stik (%)";"Dækning 2. stik (%)";"Dækning 3. stik (%)"
00-02;K;7;2;0;90845;0.0;0.0;0.0
00-02;M;2;0;0;95728;0.0;0.0;0.0
03-04;K;36;17;0;60616;0.1;0.0;0.0
03-04;M;28;14;1;64042;0.0;0.0;0.0
05-11;K;101718;83463;5;216508;47.0;38.5;0.0
05-11;M;107662;88309;4;227963;47.2;38.7;0.0
12-15;K;120282;117527;603;147280;81.7;79.8;0.4
12-15;M;126309;123273;639;155031;81.5;79.5;0.4
16-19;K;124560;123166;65054;137675;90.5;89.5;47.3
16-19;M;127314;125247;60639;142634;89.3;87.8;42.5
20-39;K;624649;613062;425859;737226;84.7;83.2;57.8
20-39;M;628366;612524;395517;765079;82.1;80.1;51.7
40-64;K;891179;886697;808741;953558;93.5;93.0;84.8
40-64;M;882066;877073;790152;955201;92.3;91.8;82.7
65-79;K;447889;447180;437210;461591;97.0;96.9;94.7
65-79;M;410040;409397;400034;422043;97.2;97.0;94.8
80+;K;147542;147205;143381;152552;96.7;96.5;94.0
80+;M;98436;98293;96218;101066;97.4;97.3;95.2
