"Dato";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Samlet antal 1. stik";"Samlet antal 2. stik";"Samlet antal 3. stik";"Samlet dækning 1. stik (%)";"Samlet dækning 2. stik (%)";"Samlet dækning 3. stik (%)"
2020-12-08;1;0;0;5886638;1;0;0;0.00;0.00;0.00
2020-12-11;1;0;0;5886638;2;0;0;0.00;0.00;0.00
2020-12-16;1;0;0;5886638;3;0;0;0.00;0.00;0.00
2020-12-17;1;0;0;5886638;4;0;0;0.00;0.00;0.00
2020-12-18;2;0;0;5886638;6;0;0;0.00;0.00;0.00
2020-12-19;1;0;0;5886638;7;0;0;0.00;0.00;0.00
2020-12-20;1;0;0;5886638;8;0;0;0.00;0.00;0.00
2020-12-21;3;0;0;5886638;11;0;0;0.00;0.00;0.00
2020-12-22;5;0;0;5886638;16;0;0;0.00;0.00;0.00
2020-12-23;4;0;0;5886638;20;0;0;0.00;0.00;0.00
2020-12-24;4;0;0;5886638;24;0;0;0.00;0.00;0.00
2020-12-26;5;0;0;5886638;29;0;0;0.00;0.00;0.00
2020-12-27;5701;0;0;5886638;5730;0;0;0.10;0.00;0.00
2020-12-28;1896;0;0;5886638;7626;0;0;0.13;0.00;0.00
2020-12-29;8065;1;0;5886638;15691;1;0;0.27;0.00;0.00
2020-12-30;10352;0;0;5886638;26043;1;0;0.44;0.00;0.00
2020-12-31;5371;0;0;5886638;31414;1;0;0.53;0.00;0.00
2021-01-01;2043;0;0;5886638;33457;1;0;0.57;0.00;0.00
2021-01-02;7657;0;0;5886638;41114;1;0;0.70;0.00;0.00
2021-01-03;5030;0;0;5886638;46144;1;0;0.78;0.00;0.00
2021-01-04;2303;0;0;5886638;48447;1;0;0.82;0.00;0.00
2021-01-05;11987;0;0;5886638;60434;1;0;1.03;0.00;0.00
2021-01-06;17269;0;0;5886638;77703;1;0;1.32;0.00;0.00
2021-01-07;15275;0;0;5886638;92978;1;0;1.58;0.00;0.00
2021-01-08;7457;1;0;5886638;100435;2;0;1.71;0.00;0.00
2021-01-09;1818;2;0;5886638;102253;4;0;1.74;0.00;0.00
2021-01-10;819;0;0;5886638;103072;4;0;1.75;0.00;0.00
2021-01-11;666;0;0;5886638;103738;4;0;1.76;0.00;0.00
2021-01-12;464;2;0;5886638;104202;6;0;1.77;0.00;0.00
2021-01-13;11859;5;0;5886638;116061;11;0;1.97;0.00;0.00
2021-01-14;16396;1;0;5886638;132457;12;0;2.25;0.00;0.00
2021-01-15;13800;5;0;5886638;146257;17;0;2.48;0.00;0.00
2021-01-16;4180;10;0;5886638;150437;27;0;2.56;0.00;0.00
2021-01-17;2191;603;0;5886638;152628;630;0;2.59;0.01;0.00
2021-01-18;3495;1876;0;5886638;156123;2506;0;2.65;0.04;0.00
2021-01-19;2270;1810;0;5886638;158393;4316;0;2.69;0.07;0.00
2021-01-20;1383;1642;0;5886638;159776;5958;0;2.71;0.10;0.00
