"Region";"Aldersgruppe";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Dækning 1. stik (%)";"Dækning 2. stik (%)";"Dækning 3. stik (%)"
Hovedstaden;00-02;K;2;0;0;31507;0.01;0.00;0.00
Hovedstaden;00-02;M;0;0;0;33412;0.00;0.00;0.00
Hovedstaden;03-04;K;9;4;0;20035;0.04;0.02;0.00
Hovedstaden;03-04;M;12;7;0;20946;0.06;0.03;0.00
Hovedstaden;05-11;K;29365;23036;2;69114;42.5;33.3;0.00
Hovedstaden;05-11;M;30892;24249;0;72488;42.6;33.5;0.00
Hovedstaden;12-15;K;34417;33446;229;44367;77.6;75.4;0.52
Hovedstaden;12-15;M;36365;35270;244;47040;77.3;75.0;0.52
Hovedstaden;16-19;K;36192;35621;18454;41131;88.0;86.6;44.9
Hovedstaden;16-19;M;36311;35572;16817;42082;86.3;84.5;40.0
Hovedstaden;20-39;K;233941;229234;157049;280123;83.5;81.8;56.1
Hovedstaden;20-39;M;224577;218285;139647;275032;81.7;79.4;50.8
Hovedstaden;40-64;K;272336;270567;240945;294831;92.4;91.8;81.7
Hovedstaden;40-64;M;267488;265593;235093;293130;91.3;90.6;80.2
Hovedstaden;65-79;K;124075;123796;120275;128642;96.4;96.2;93.5
Hovedstaden;65-79;M;106024;105799;102811;109674;96.7;96.5;93.7
Hovedstaden;80+;K;42277;42151;40862;43905;96.3;96.0;93.1
Hovedstaden;80+;M;25392;25343;24725;26155;97.1;96.9;94.5
Midtjylland;00-02;K;3;1;0;21575;0.01;0.00;0.00
Midtjylland;00-02;M;1;0;0;22731;0.00;0.00;0.00
Midtjylland;03-04;K;10;3;0;14161;0.07;0.02;0.00
Midtjylland;03-04;M;4;2;0;15194;0.03;0.01;0.00
Midtjylland;05-11;K;26182;21791;0;51001;51.3;42.7;0.00
Midtjylland;05-11;M;27753;23048;0;53526;51.8;43.1;0.00
Midtjylland;12-15;K;29487;28910;143;34731;84.9;83.2;0.41
Midtjylland;12-15;M;30659;30023;149;36212;84.7;82.9;0.41
Midtjylland;16-19;K;30517;30248;16442;33163;92.0;91.2;49.6
Midtjylland;16-19;M;30846;30479;15206;33971;90.8;89.7;44.8
Midtjylland;20-39;K;148339;146074;105697;170430;87.0;85.7;62.0
Midtjylland;20-39;M;150967;147783;98986;179119;84.3;82.5;55.3
Midtjylland;40-64;K;200490;199728;185070;212349;94.4;94.1;87.2
Midtjylland;40-64;M;199405;198524;181508;213441;93.4;93.0;85.0
Midtjylland;65-79;K;99711;99602;97810;102238;97.5;97.4;95.7
Midtjylland;65-79;M;93791;93678;91915;96187;97.5;97.4;95.6
Midtjylland;80+;K;31984;31921;31225;32864;97.3;97.1;95.0
Midtjylland;80+;M;22290;22259;21836;22758;97.9;97.8;95.9
Nordjylland;00-02;K;0;0;0;8624;0.00;0.00;0.00
Nordjylland;00-02;M;0;0;0;9021;0.00;0.00;0.00
Nordjylland;03-04;K;6;3;0;5847;0.10;0.05;0.00
Nordjylland;03-04;M;2;0;0;6137;0.03;0.00;0.00
Nordjylland;05-11;K;10601;8791;1;20937;50.6;42.0;0.00
Nordjylland;05-11;M;11078;9084;0;21985;50.4;41.3;0.00
Nordjylland;12-15;K;12273;11986;32;14447;85.0;83.0;0.22
Nordjylland;12-15;M;13074;12764;38;15383;85.0;83.0;0.25
Nordjylland;16-19;K;12656;12543;6638;13727;92.2;91.4;48.4
Nordjylland;16-19;M;13150;12947;6241;14380;91.4;90.0;43.4
Nordjylland;20-39;K;59523;58482;40934;68336;87.1;85.6;59.9
Nordjylland;20-39;M;64147;62525;40095;76139;84.2;82.1;52.7
Nordjylland;40-64;K;89372;88997;82464;94543;94.5;94.1;87.2
Nordjylland;40-64;M;89683;89223;81193;96157;93.3;92.8;84.4
Nordjylland;65-79;K;48795;48718;47733;50055;97.5;97.3;95.4
