"Uge";"Aldersgruppe";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Samlet antal 1. stik";"Samlet antal 2. stik";"Samlet antal 3. stik";"Samlet dækning 1. stik (%)";"Samlet dækning 2. stik (%)";"Samlet dækning 3. stik (%)"
2020-U50;20-29;1;0;0;783225;1;0;0;0.00;0.00;0.00
2020-U50;40-49;1;0;0;752346;1;0;0;0.00;0.00;0.00
2020-U51;10-19;1;0;0;713692;1;0;0;0.00;0.00;0.00
2020-U51;20-29;1;0;0;783225;2;0;0;0.00;0.00;0.00
2020-U51;30-39;2;0;0;719080;2;0;0;0.00;0.00;0.00
2020-U51;40-49;1;0;0;752346;2;0;0;0.00;0.00;0.00
2020-U51;80-89;1;0;0;219888;1;0;0;0.00;0.00;0.00
2020-U52;10-19;23;0;0;713692;24;0;0;0.00;0.00;0.00
2020-U52;20-29;585;0;0;783225;587;0;0;0.07;0.00;0.00
2020-U52;30-39;736;0;0;719080;738;0;0;0.10;0.00;0.00
2020-U52;40-49;978;0;0;752346;980;0;0;0.13;0.00;0.00
2020-U52;50-59;1069;0;0;806984;1069;0;0;0.13;0.00;0.00
2020-U52;60-69;775;0;0;667951;775;0;0;0.12;0.00;0.00
2020-U52;70-79;533;0;0;565112;533;0;0;0.09;0.00;0.00
2020-U52;80-89;695;0;0;219888;696;0;0;0.32;0.00;0.00
2020-U52;90+;328;0;0;33730;328;0;0;0.97;0.00;0.00
2020-U53;10-19;144;0;0;713692;168;0;0;0.02;0.00;0.00
2020-U53;20-29;3205;0;0;783225;3792;0;0;0.48;0.00;0.00
2020-U53;30-39;5297;0;0;719080;6035;0;0;0.84;0.00;0.00
2020-U53;40-49;7382;1;0;752346;8362;1;0;1.11;0.00;0.00
2020-U53;50-59;8603;0;0;806984;9672;0;0;1.20;0.00;0.00
2020-U53;60-69;5975;0;0;667951;6750;0;0;1.01;0.00;0.00
2020-U53;70-79;3282;0;0;565112;3815;0;0;0.68;0.00;0.00
2020-U53;80-89;4310;0;0;219888;5006;0;0;2.28;0.00;0.00
2020-U53;90+;2216;0;0;33730;2544;0;0;7.54;0.00;0.00
2021-U01;10-19;311;0;0;713692;479;0;0;0.07;0.00;0.00
2021-U01;20-29;3907;0;0;783225;7699;0;0;0.98;0.00;0.00
2021-U01;30-39;6660;1;0;719080;12695;1;0;1.77;0.00;0.00
2021-U01;40-49;9426;1;0;752346;17788;2;0;2.36;0.00;0.00
2021-U01;50-59;11832;0;0;806984;21504;0;0;2.66;0.00;0.00
2021-U01;60-69;8862;0;0;667951;15612;0;0;2.34;0.00;0.00
2021-U01;70-79;5292;0;0;565112;9107;0;0;1.61;0.00;0.00
2021-U01;80-89;6991;1;0;219888;11997;1;0;5.46;0.00;0.00
2021-U01;90+;3647;0;0;33730;6191;0;0;18.4;0.00;0.00
2021-U02;10-19;164;2;0;713692;643;2;0;0.09;0.00;0.00
2021-U02;20-29;3439;47;0;783225;11138;47;0;1.42;0.01;0.00
2021-U02;30-39;5276;64;0;719080;17971;65;0;2.50;0.01;0.00
2021-U02;40-49;6687;126;0;752346;24475;128;0;3.25;0.02;0.00
2021-U02;50-59;7543;129;0;806984;29047;129;0;3.60;0.02;0.00
2021-U02;60-69;7296;75;0;667951;22908;75;0;3.43;0.01;0.00
2021-U02;70-79;7705;67;0;565112;16812;67;0;2.97;0.01;0.00
2021-U02;80-89;8081;75;0;219888;20078;76;0;9.13;0.03;0.00
2021-U02;90+;3365;41;0;33730;9556;41;0;28.3;0.12;0.00
2021-U03;10-19;90;95;0;713692;733;97;0;0.10;0.01;0.00
2021-U03;20-29;751;1534;0;783225;11889;1581;0;1.52;0.20;0.00
2021-U03;30-39;962;2479;0;719080;18933;2544;0;2.63;0.35;0.00
2021-U03;40-49;1354;3822;0;752346;25829;3950;0;3.43;0.53;0.00
2021-U03;50-59;1506;4531;0;806984;30553;4660;0;3.79;0.58;0.00
2021-U03;60-69;1498;3490;0;667951;24406;3565;0;3.65;0.53;0.00
2021-U03;70-79;1748;2690;0;565112;18560;2757;0;3.28;0.49;0.00
2021-U03;80-89;1819;3626;0;219888;21897;3702;0;9.96;1.68;0.00
2021-U03;90+;667;1829;0;33730;10223;1870;0;30.3;5.54;0.00
2021-U04;10-19;61;261;0;713692;794;358;0;0.11;0.05;0.00
2021-U04;20-29;392;3677;0;783225;12281;5258;0;1.57;0.67;0.00
2021-U04;30-39;472;6264;0;719080;19405;8808;0;2.70;1.22;0.00
2021-U04;40-49;664;9107;0;752346;26493;13057;0;3.52;1.74;0.00
