"Uge";"Aldersgruppe";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Samlet antal 1. stik";"Samlet antal 2. stik";"Samlet antal 3. stik";"Samlet dækning 1. stik (%)";"Samlet dækning 2. stik (%)";"Samlet dækning 3. stik (%)"
2020-U50;20-39;1;0;0;1502305;1;0;0;0.00;0.00;0.00
2020-U50;40-64;1;0;0;1908759;1;0;0;0.00;0.00;0.00
2020-U51;16-19;1;0;0;280309;1;0;0;0.00;0.00;0.00
2020-U51;20-39;3;0;0;1502305;4;0;0;0.00;0.00;0.00
2020-U51;40-64;1;0;0;1908759;2;0;0;0.00;0.00;0.00
2020-U51;80+;1;0;0;253618;1;0;0;0.00;0.00;0.00
2020-U52;12-15;1;0;0;302311;1;0;0;0.00;0.00;0.00
2020-U52;16-19;22;0;0;280309;23;0;0;0.01;0.00;0.00
2020-U52;20-39;1321;0;0;1502305;1325;0;0;0.09;0.00;0.00
2020-U52;40-64;2554;0;0;1908759;2556;0;0;0.13;0.00;0.00
2020-U52;65-79;801;0;0;883634;801;0;0;0.09;0.00;0.00
2020-U52;80+;1023;0;0;253618;1024;0;0;0.40;0.00;0.00
2020-U53;12-15;1;0;0;302311;2;0;0;0.00;0.00;0.00
2020-U53;16-19;143;0;0;280309;166;0;0;0.06;0.00;0.00
2020-U53;20-39;8502;0;0;1502305;9827;0;0;0.65;0.00;0.00
2020-U53;40-64;20221;1;0;1908759;22777;1;0;1.19;0.00;0.00
2020-U53;65-79;5021;0;0;883634;5822;0;0;0.66;0.00;0.00
2020-U53;80+;6526;0;0;253618;7550;0;0;2.98;0.00;0.00
2021-U01;16-19;311;0;0;280309;477;0;0;0.17;0.00;0.00
2021-U01;20-39;10567;1;0;1502305;20394;1;0;1.36;0.00;0.00
2021-U01;40-64;27323;1;0;1908759;50100;2;0;2.62;0.00;0.00
2021-U01;65-79;8089;0;0;883634;13911;0;0;1.57;0.00;0.00
2021-U01;80+;10638;1;0;253618;18188;1;0;7.17;0.00;0.00
2021-U02;12-15;1;0;0;302311;3;0;0;0.00;0.00;0.00
2021-U02;16-19;163;2;0;280309;640;2;0;0.23;0.00;0.00
2021-U02;20-39;8715;111;0;1502305;29109;112;0;1.94;0.01;0.00
2021-U02;40-64;18098;301;0;1908759;68198;303;0;3.57;0.02;0.00
2021-U02;65-79;11133;96;0;883634;25044;96;0;2.83;0.01;0.00
2021-U02;80+;11446;116;0;253618;29634;117;0;11.7;0.05;0.00
2021-U03;12-15;2;2;0;302311;5;2;0;0.00;0.00;0.00
2021-U03;16-19;88;93;0;280309;728;95;0;0.26;0.03;0.00
2021-U03;20-39;1713;4013;0;1502305;30822;4125;0;2.05;0.27;0.00
2021-U03;40-64;3624;10708;0;1908759;71822;11011;0;3.76;0.58;0.00
2021-U03;65-79;2482;3825;0;883634;27526;3921;0;3.12;0.44;0.00
2021-U03;80+;2486;5455;0;253618;32120;5572;0;12.7;2.20;0.00
