"Aldersgruppe";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Dækning 1. stik (%)";"Dækning 2. stik (%)";"Dækning 3. stik (%)"
00-02;K;6;2;0;90844;0.0;0.0;0.0
00-02;M;2;0;0;95728;0.0;0.0;0.0
03-04;K;10;2;0;60590;0.0;0.0;0.0
03-04;M;6;2;0;64020;0.0;0.0;0.0
05-11;K;94423;76964;4;209213;45.1;36.8;0.0
05-11;M;100033;81458;2;220334;45.4;37.0;0.0
12-15;K;105750;102373;313;132748;79.7;77.1;0.2
12-15;M;111571;107988;356;140293;79.5;77.0;0.3
16-19;K;121220;119833;45211;134335;90.2;89.2;33.7
16-19;M;125067;123091;43085;140387;89.1;87.7;30.7
20-39;K;624972;613349;425961;737549;84.7;83.2;57.8
20-39;M;630232;614302;396058;766945;82.2;80.1;51.6
40-64;K;883740;879159;797420;946119;93.4;92.9;84.3
40-64;M;874205;869016;777732;947340;92.3;91.7;82.1
65-79;K;457783;457031;446552;471485;97.1;96.9;94.7
65-79;M;421922;421243;411283;433925;97.2;97.1;94.8
80+;K;169958;169606;165392;174968;97.1;96.9;94.5
80+;M;117185;117030;114688;119815;97.8;97.7;95.7
