"Uge";"Aldersgruppe";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Samlet antal 1. stik";"Samlet antal 2. stik";"Samlet antal 3. stik";"Samlet dækning 1. stik (%)";"Samlet dækning 2. stik (%)";"Samlet dækning 3. stik (%)"
2020-U50;20-29;1;0;0;783775;1;0;0;0.00;0.00;0.00
2020-U50;40-49;1;0;0;732547;1;0;0;0.00;0.00;0.00
2020-U51;10-19;1;0;0;675073;1;0;0;0.00;0.00;0.00
2020-U51;20-29;1;0;0;783775;2;0;0;0.00;0.00;0.00
2020-U51;30-39;2;0;0;720719;2;0;0;0.00;0.00;0.00
2020-U51;40-49;1;0;0;732547;2;0;0;0.00;0.00;0.00
2020-U51;80-89;1;0;0;249530;1;0;0;0.00;0.00;0.00
2020-U52;10-19;4;0;0;675073;5;0;0;0.00;0.00;0.00
2020-U52;20-29;501;0;0;783775;503;0;0;0.06;0.00;0.00
2020-U52;30-39;715;0;0;720719;717;0;0;0.10;0.00;0.00
2020-U52;40-49;956;0;0;732547;958;0;0;0.13;0.00;0.00
2020-U52;50-59;1074;0;0;807304;1074;0;0;0.13;0.00;0.00
2020-U52;60-69;873;0;0;676742;873;0;0;0.13;0.00;0.00
2020-U52;70-79;498;0;0;582276;498;0;0;0.09;0.00;0.00
2020-U52;80-89;695;0;0;249530;696;0;0;0.28;0.00;0.00
2020-U52;90+;406;0;0;45253;406;0;0;0.90;0.00;0.00
2020-U53;10-19;38;0;0;675073;43;0;0;0.01;0.00;0.00
2020-U53;20-29;2697;0;0;783775;3200;0;0;0.41;0.00;0.00
2020-U53;30-39;5101;0;0;720719;5818;0;0;0.81;0.00;0.00
2020-U53;40-49;7194;1;0;732547;8152;1;0;1.11;0.00;0.00
2020-U53;50-59;8412;0;0;807304;9486;0;0;1.18;0.00;0.00
2020-U53;60-69;6832;0;0;676742;7705;0;0;1.14;0.00;0.00
2020-U53;70-79;3126;0;0;582276;3624;0;0;0.62;0.00;0.00
2020-U53;80-89;4296;0;0;249530;4992;0;0;2.00;0.00;0.00
2020-U53;90+;2718;0;0;45253;3124;0;0;6.90;0.00;0.00
2021-U01;10-19;83;0;0;675073;126;0;0;0.02;0.00;0.00
2021-U01;20-29;3407;0;0;783775;6607;0;0;0.84;0.00;0.00
2021-U01;30-39;6390;1;0;720719;12208;1;0;1.69;0.00;0.00
2021-U01;40-49;9115;1;0;732547;17267;2;0;2.36;0.00;0.00
2021-U01;50-59;11425;0;0;807304;20911;0;0;2.59;0.00;0.00
2021-U01;60-69;10010;0;0;676742;17715;0;0;2.62;0.00;0.00
2021-U01;70-79;5085;0;0;582276;8709;0;0;1.50;0.00;0.00
2021-U01;80-89;6858;1;0;249530;11850;1;0;4.75;0.00;0.00
2021-U01;90+;4555;0;0;45253;7679;0;0;17.0;0.00;0.00
2021-U02;10-19;48;0;0;675073;174;0;0;0.03;0.00;0.00
2021-U02;20-29;2885;39;0;783775;9492;39;0;1.21;0.00;0.00
2021-U02;30-39;5216;61;0;720719;17424;62;0;2.42;0.01;0.00
2021-U02;40-49;6517;117;0;732547;23784;119;0;3.25;0.02;0.00
2021-U02;50-59;7399;133;0;807304;28310;133;0;3.51;0.02;0.00
2021-U02;60-69;7573;89;0;676742;25288;89;0;3.74;0.01;0.00
2021-U02;70-79;7519;62;0;582276;16228;62;0;2.79;0.01;0.00
2021-U02;80-89;8063;70;0;249530;19913;71;0;7.98;0.03;0.00
2021-U02;90+;4336;55;0;45253;12015;55;0;26.6;0.12;0.00
2021-U03;10-19;36;29;0;675073;210;29;0;0.03;0.00;0.00
2021-U03;20-29;695;1350;0;783775;10187;1389;0;1.30;0.18;0.00
2021-U03;30-39;939;2318;0;720719;18363;2380;0;2.55;0.33;0.00
2021-U03;40-49;1303;3697;0;732547;25087;3816;0;3.42;0.52;0.00
2021-U03;50-59;1488;4441;0;807304;29798;4574;0;3.69;0.57;0.00
2021-U03;60-69;1530;3877;0;676742;26818;3966;0;3.96;0.59;0.00
2021-U03;70-79;1705;2506;0;582276;17933;2568;0;3.08;0.44;0.00
2021-U03;80-89;1841;3640;0;249530;21754;3711;0;8.72;1.49;0.00
2021-U03;90+;858;2238;0;45253;12873;2293;0;28.4;5.07;0.00
2021-U04;10-19;17;69;0;675073;227;98;0;0.03;0.01;0.00
2021-U04;20-29;388;3160;0;783775;10575;4549;0;1.35;0.58;0.00
2021-U04;30-39;448;6024;0;720719;18811;8404;0;2.61;1.17;0.00
2021-U04;40-49;642;8789;0;732547;25729;12605;0;3.51;1.72;0.00
2021-U04;50-59;889;11186;0;807304;30687;15760;0;3.80;1.95;0.00
2021-U04;60-69;747;9560;0;676742;27565;13526;0;4.07;2.00;0.00
2021-U04;70-79;504;4663;0;582276;18437;7231;0;3.17;1.24;0.00
2021-U04;80-89;368;6295;0;249530;22122;10006;0;8.87;4.01;0.00
2021-U04;90+;140;4256;0;45253;13013;6549;0;28.8;14.5;0.00
2021-U05;10-19;16;50;0;675073;243;148;0;0.04;0.02;0.00
2021-U05;20-29;424;2805;0;783775;10999;7354;0;1.40;0.94;0.00
2021-U05;30-39;520;5001;0;720719;19331;13405;0;2.68;1.86;0.00
2021-U05;40-49;710;6728;0;732547;26439;19333;0;3.61;2.64;0.00
2021-U05;50-59;805;7927;0;807304;31492;23687;0;3.90;2.93;0.00
2021-U05;60-69;853;7861;0;676742;28418;21387;0;4.20;3.16;0.00
