"Dato";"Region";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal 1. stik siden i går";"Antal 2. stik siden i går";"Antal 3. stik siden i går";"Antal borgere";"Dækning 1. stik (%)";"Dækning 2. stik (%)";"Dækning 3. stik (%)"
2022-04-22;Hovedstaden;K;772614;757855;577816;-41;-33;78;953655;81.0;79.5;60.6
2022-04-22;Hovedstaden;M;727061;710118;519337;-40;-30;61;919959;79.0;77.2;56.5
2022-04-22;Midtjylland;K;566723;558278;436387;-6;7;55;672512;84.3;83.0;64.9
2022-04-22;Midtjylland;M;555716;545796;409600;4;11;58;673139;82.6;81.1;60.8
2022-04-22;Nordjylland;K;249399;245667;193563;2;0;2;293182;85.1;83.8;66.0
2022-04-22;Nordjylland;M;249148;244473;184264;-14;-12;-7;298785;83.4;81.8;61.7
2022-04-22;Sjælland;K;352520;347297;274174;1;-1;21;423862;83.2;81.9;64.7
2022-04-22;Sjælland;M;342174;336326;255782;-5;5;6;421100;81.3;79.9;60.7
2022-04-22;Syddanmark;K;516606;509222;398913;-20;-20;28;614640;84.1;82.8;64.9
2022-04-22;Syddanmark;M;506124;497417;374221;-19;-14;42;615804;82.2;80.8;60.8
