"Aldersgruppe";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Dækning 1. stik (%)";"Dækning 2. stik (%)";"Dækning 3. stik (%)"
0-9;K;63221;49994;4;303800;20.8;16.5;0.0
0-9;M;67429;53362;1;320830;21.0;16.6;0.0
10-19;K;283382;274181;65658;349124;81.2;78.5;18.8
10-19;M;293886;283481;61282;364568;80.6;77.8;16.8
20-29;K;322286;315978;223654;383727;84.0;82.3;58.3
20-29;M;328109;318995;204494;399498;82.1;79.8;51.2
30-39;K;302363;297084;202205;353499;85.5;84.0;57.2
30-39;M;300257;293529;191023;365581;82.1;80.3;52.3
40-49;K;345037;342518;297223;375766;91.8;91.2;79.1
40-49;M;337167;334253;283127;376580;89.5;88.8;75.2
50-59;K;378198;376685;350888;401858;94.1;93.7;87.3
50-59;M;379167;377566;349041;405126;93.6;93.2;86.2
60-69;K;325135;324377;313272;338967;95.9;95.7;92.4
60-69;M;315861;315072;303521;328984;96.0;95.8;92.3
70-79;K;290698;290297;284568;298558;97.4;97.2;95.3
70-79;M;259911;259579;254497;266554;97.5;97.4;95.5
80-89;K;124514;124278;121351;128277;97.1;96.9;94.6
80-89;M;89330;89212;87426;91611;97.5;97.4;95.4
90+;K;23028;22927;22030;24275;94.9;94.4;90.8
90+;M;9106;9081;8792;9455;96.3;96.0;93.0
