"Region";"Aldersgruppe";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Dækning 1. stik (%)";"Dækning 2. stik (%)";"Dækning 3. stik (%)"
Hovedstaden;00-02;K;2;0;0;31507;0.01;0.00;0.00
Hovedstaden;00-02;M;0;0;0;33412;0.00;0.00;0.00
Hovedstaden;03-04;K;3;0;0;20029;0.01;0.00;0.00
Hovedstaden;03-04;M;3;1;0;20937;0.01;0.00;0.00
Hovedstaden;05-11;K;27323;21284;1;67072;40.7;31.7;0.00
Hovedstaden;05-11;M;28776;22419;0;70372;40.9;31.9;0.00
Hovedstaden;12-15;K;30437;29236;119;40387;75.4;72.4;0.29
Hovedstaden;12-15;M;32229;30947;145;42904;75.1;72.1;0.34
Hovedstaden;16-19;K;34553;34002;12727;39492;87.5;86.1;32.2
Hovedstaden;16-19;M;35368;34637;11921;41139;86.0;84.2;29.0
Hovedstaden;20-39;K;233145;228414;156237;279327;83.5;81.8;55.9
Hovedstaden;20-39;M;223882;217563;138613;274337;81.6;79.3;50.5
Hovedstaden;40-64;K;271900;270089;239039;294395;92.4;91.7;81.2
Hovedstaden;40-64;M;266993;265036;233044;292635;91.2;90.6;79.6
Hovedstaden;65-79;K;126775;126486;122763;131342;96.5;96.3;93.5
Hovedstaden;65-79;M;109557;109316;106131;113207;96.8;96.6;93.7
Hovedstaden;80+;K;48476;48344;46930;50104;96.8;96.5;93.7
Hovedstaden;80+;M;30253;30199;29483;31016;97.5;97.4;95.1
Midtjylland;00-02;K;2;1;0;21574;0.01;0.00;0.00
Midtjylland;00-02;M;1;0;0;22731;0.00;0.00;0.00
Midtjylland;03-04;K;4;0;0;14155;0.03;0.00;0.00
Midtjylland;03-04;M;0;0;0;15190;0.00;0.00;0.00
Midtjylland;05-11;K;24357;20137;0;49176;49.5;40.9;0.00
Midtjylland;05-11;M;25815;21307;0;51588;50.0;41.3;0.00
Midtjylland;12-15;K;25935;25217;75;31179;83.2;80.9;0.24
Midtjylland;12-15;M;27131;26343;80;32684;83.0;80.6;0.24
Midtjylland;16-19;K;29584;29322;11312;32230;91.8;91.0;35.1
Midtjylland;16-19;M;30332;29974;10827;33457;90.7;89.6;32.4
Midtjylland;20-39;K;148851;146580;106089;170942;87.1;85.7;62.1
Midtjylland;20-39;M;151702;148507;99364;179854;84.3;82.6;55.2
Midtjylland;40-64;K;198995;198208;182754;210854;94.4;94.0;86.7
Midtjylland;40-64;M;197603;196684;178698;211639;93.4;92.9;84.4
Midtjylland;65-79;K;102180;102063;100179;104707;97.6;97.5;95.7
Midtjylland;65-79;M;96747;96630;94766;99143;97.6;97.5;95.6
Midtjylland;80+;K;36815;36750;35978;37695;97.7;97.5;95.4
Midtjylland;80+;M;26385;26351;25865;26853;98.3;98.1;96.3
Nordjylland;00-02;K;0;0;0;8624;0.00;0.00;0.00
Nordjylland;00-02;M;0;0;0;9021;0.00;0.00;0.00
Nordjylland;03-04;K;1;0;0;5842;0.02;0.00;0.00
Nordjylland;03-04;M;1;0;0;6136;0.02;0.00;0.00
Nordjylland;05-11;K;9852;8102;1;20188;48.8;40.1;0.00
Nordjylland;05-11;M;10302;8379;0;21209;48.6;39.5;0.00
Nordjylland;12-15;K;10774;10448;19;12948;83.2;80.7;0.15
Nordjylland;12-15;M;11465;11102;23;13774;83.2;80.6;0.17
Nordjylland;16-19;K;12298;12183;4548;13369;92.0;91.1;34.0
Nordjylland;16-19;M;12932;12746;4327;14162;91.3;90.0;30.6
Nordjylland;20-39;K;59686;58633;41016;68499;87.1;85.6;59.9
Nordjylland;20-39;M;64530;62900;40338;76522;84.3;82.2;52.7
Nordjylland;40-64;K;88307;87931;81066;93478;94.5;94.1;86.7
Nordjylland;40-64;M;88579;88098;79635;95053;93.2;92.7;83.8
Nordjylland;65-79;K;49848;49765;48736;51108;97.5;97.4;95.4
