"Region";"Aldersgruppe";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Dækning 1. stik (%)";"Dækning 2. stik (%)";"Dækning 3. stik (%)"
Hovedstaden;0-9;K;18492;13988;1;100463;18.4;13.9;0.00
Hovedstaden;0-9;M;19599;14880;0;105939;18.5;14.0;0.00
Hovedstaden;10-19;K;81493;78119;18684;105691;77.1;73.9;17.7
Hovedstaden;10-19;M;83981;80218;17061;110029;76.3;72.9;15.5
Hovedstaden;20-29;K;123266;120688;85041;148783;82.8;81.1;57.2
Hovedstaden;20-29;M;116552;112985;71764;143297;81.3;78.8;50.1
Hovedstaden;30-39;K;110675;108546;72008;131340;84.3;82.6;54.8
Hovedstaden;30-39;M;108025;105300;67883;131735;82.0;79.9;51.5
Hovedstaden;40-49;K;112711;111650;94084;124343;90.6;89.8;75.7
Hovedstaden;40-49;M;109387;108292;90412;123514;88.6;87.7;73.2
Hovedstaden;50-59;K;113186;112622;102978;121416;93.2;92.8;84.8
Hovedstaden;50-59;M;112316;111691;101515;121323;92.6;92.1;83.7
Hovedstaden;60-69;K;88787;88530;84651;93337;95.1;94.8;90.7
Hovedstaden;60-69;M;84068;83783;79995;88237;95.3;95.0;90.7
Hovedstaden;70-79;K;81727;81561;79507;84377;96.9;96.7;94.2
Hovedstaden;70-79;M;67741;67626;65982;69730;97.1;97.0;94.6
Hovedstaden;80-89;K;35402;35311;34322;36635;96.6;96.4;93.7
Hovedstaden;80-89;M;22994;22953;22412;23668;97.2;97.0;94.7
Hovedstaden;90+;K;6875;6840;6540;7270;94.6;94.1;90.0
Hovedstaden;90+;M;2398;2390;2313;2487;96.4;96.1;93.0
Midtjylland;0-9;K;16296;13022;0;71640;22.7;18.2;0.00
Midtjylland;0-9;M;17406;13911;0;75707;23.0;18.4;0.00
Midtjylland;10-19;K;69903;67931;16585;82991;84.2;81.9;20.0
Midtjylland;10-19;M;71857;69641;15355;85927;83.6;81.0;17.9
Midtjylland;20-29;K;79879;78622;58157;92256;86.6;85.2;63.0
Midtjylland;20-29;M;81716;79829;53172;96722;84.5;82.5;55.0
Midtjylland;30-39;K;68460;67452;47540;78174;87.6;86.3;60.8
Midtjylland;30-39;M;69251;67954;45814;82397;84.0;82.5;55.6
Midtjylland;40-49;K;77870;77455;68887;83768;93.0;92.5;82.2
Midtjylland;40-49;M;76925;76397;66057;84564;91.0;90.3;78.1
Midtjylland;50-59;K;84476;84215;79442;88933;95.0;94.7;89.3
Midtjylland;50-59;M;84917;84636;79317;89843;94.5;94.2;88.3
Midtjylland;60-69;K;74348;74206;72090;76973;96.6;96.4;93.7
Midtjylland;60-69;M;72737;72606;70400;75321;96.6;96.4;93.5
Midtjylland;70-79;K;63507;63454;62461;64913;97.8;97.8;96.2
Midtjylland;70-79;M;58617;58563;57649;59900;97.9;97.8;96.2
Midtjylland;80-89;K;26972;26923;26413;27621;97.7;97.5;95.6
Midtjylland;80-89;M;20180;20155;19798;20579;98.1;97.9;96.2
Midtjylland;90+;K;5012;4998;4812;5243;95.6;95.3;91.8
Midtjylland;90+;M;2110;2104;2038;2179;96.8;96.6;93.5
Nordjylland;0-9;K;6638;5288;1;29209;22.7;18.1;0.00
Nordjylland;0-9;M;6948;5472;0;30668;22.7;17.8;0.00
Nordjylland;10-19;K;28898;28035;6670;34373;84.1;81.6;19.4
Nordjylland;10-19;M;30356;29323;6279;36238;83.8;80.9;17.3
Nordjylland;20-29;K;31568;30975;21850;36334;86.9;85.3;60.1
Nordjylland;20-29;M;35310;34341;21988;41561;85.0;82.6;52.9
Nordjylland;30-39;K;27955;27507;19084;32002;87.4;86.0;59.6
Nordjylland;30-39;M;28837;28184;18107;34578;83.4;81.5;52.4
Nordjylland;40-49;K;32478;32289;28663;34852;93.2;92.6;82.2
Nordjylland;40-49;M;32622;32367;27794;35942;90.8;90.1;77.3
Nordjylland;50-59;K;38476;38337;36097;40526;94.9;94.6;89.1
Nordjylland;50-59;M;38910;38758;36017;41278;94.3;93.9;87.3
Nordjylland;60-69;K;35751;35665;34587;37037;96.5;96.3;93.4
Nordjylland;60-69;M;35212;35131;33954;36527;96.4;96.2;93.0
Nordjylland;70-79;K;31462;31424;30850;32183;97.8;97.6;95.9
Nordjylland;70-79;M;29517;29477;28942;30246;97.6;97.5;95.7
Nordjylland;80-89;K;13682;13665;13373;14051;97.4;97.3;95.2
Nordjylland;80-89;M;10342;10330;10127;10616;97.4;97.3;95.4
Nordjylland;90+;K;2491;2482;2388;2615;95.3;94.9;91.3
Nordjylland;90+;M;1094;1090;1056;1131;96.7;96.4;93.4
Sjælland;0-9;K;8182;6560;0;40873;20.0;16.0;0.00
Sjælland;0-9;M;8879;7116;1;43423;20.4;16.4;0.00
Sjælland;10-19;K;40923;39695;9031;50982;80.3;77.9;17.7
Sjælland;10-19;M;43455;42036;9020;54182;80.2;77.6;16.6
Sjælland;20-29;K;30334;29594;19587;38029;79.8;77.8;51.5
Sjælland;20-29;M;33024;32055;19797;42404;77.9;75.6;46.7
Sjælland;30-39;K;37621;36889;25145;44886;83.8;82.2;56.0
Sjælland;30-39;M;36431;35595;22755;46289;78.7;76.9;49.2
Sjælland;40-49;K;50696;50317;43844;55573;91.2;90.5;78.9
Sjælland;40-49;M;48584;48164;40678;54938;88.4;87.7;74.0
Sjælland;50-59;K;60044;59785;55605;64084;93.7;93.3;86.8
Sjælland;50-59;M;60244;60011;55407;64466;93.5;93.1;85.9
Sjælland;60-69;K;52805;52676;50839;55235;95.6;95.4;92.0
Sjælland;60-69;M;51287;51153;49192;53479;95.9;95.7;92.0
Sjælland;70-79;K;49161;49089;48027;50582;97.2;97.0;94.9
Sjælland;70-79;M;44490;44434;43525;45660;97.4;97.3;95.3
Sjælland;80-89;K;19465;19422;18937;20134;96.7;96.5;94.1
Sjælland;80-89;M;14436;14422;14120;14854;97.2;97.1;95.1
Sjælland;90+;K;3289;3270;3159;3484;94.4;93.9;90.7
Sjælland;90+;M;1344;1340;1287;1405;95.7;95.4;91.6
Syddanmark;0-9;K;13613;11136;2;61615;22.1;18.1;0.00
Syddanmark;0-9;M;14597;11983;0;65093;22.4;18.4;0.00
Syddanmark;10-19;K;62165;60401;14688;75087;82.8;80.4;19.6
Syddanmark;10-19;M;64237;62263;13567;78192;82.2;79.6;17.4
Syddanmark;20-29;K;57239;56099;39019;68325;83.8;82.1;57.1
Syddanmark;20-29;M;61507;59785;37773;75514;81.5;79.2;50.0
Syddanmark;30-39;K;57652;56690;38428;67097;85.9;84.5;57.3
Syddanmark;30-39;M;57713;56496;36464;70582;81.8;80.0;51.7
Syddanmark;40-49;K;71282;70807;61745;77230;92.3;91.7;79.9
Syddanmark;40-49;M;69649;69033;58186;77622;89.7;88.9;75.0
Syddanmark;50-59;K;82016;81726;76766;86899;94.4;94.0;88.3
Syddanmark;50-59;M;82780;82470;76785;88216;93.8;93.5;87.0
Syddanmark;60-69;K;73444;73300;71105;76385;96.1;96.0;93.1
Syddanmark;60-69;M;72557;72399;69980;75420;96.2;96.0;92.8
Syddanmark;70-79;K;64841;64769;63723;66503;97.5;97.4;95.8
Syddanmark;70-79;M;59546;59479;58399;61018;97.6;97.5;95.7
Syddanmark;80-89;K;28993;28957;28306;29836;97.2;97.1;94.9
Syddanmark;80-89;M;21378;21352;20969;21894;97.6;97.5;95.8
Syddanmark;90+;K;5361;5337;5131;5663;94.7;94.2;90.6
Syddanmark;90+;M;2160;2157;2098;2253;95.9;95.7;93.1
