"Uge";"Aldersgruppe";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Samlet antal 1. stik";"Samlet antal 2. stik";"Samlet antal 3. stik";"Samlet dækning 1. stik (%)";"Samlet dækning 2. stik (%)";"Samlet dækning 3. stik (%)"
2020-U50;20-39;1;0;0;1504494;1;0;0;0.00;0.00;0.00
2020-U50;40-64;1;0;0;1893459;1;0;0;0.00;0.00;0.00
2020-U51;16-19;1;0;0;274722;1;0;0;0.00;0.00;0.00
2020-U51;20-39;3;0;0;1504494;4;0;0;0.00;0.00;0.00
2020-U51;40-64;1;0;0;1893459;2;0;0;0.00;0.00;0.00
2020-U51;80+;1;0;0;294783;1;0;0;0.00;0.00;0.00
2020-U52;16-19;4;0;0;274722;5;0;0;0.00;0.00;0.00
2020-U52;20-39;1216;0;0;1504494;1220;0;0;0.08;0.00;0.00
2020-U52;40-64;2562;0;0;1893459;2564;0;0;0.14;0.00;0.00
2020-U52;65-79;839;0;0;905410;839;0;0;0.09;0.00;0.00
2020-U52;80+;1101;0;0;294783;1102;0;0;0.37;0.00;0.00
2020-U53;12-15;1;0;0;273041;1;0;0;0.00;0.00;0.00
2020-U53;16-19;37;0;0;274722;42;0;0;0.02;0.00;0.00
2020-U53;20-39;7798;0;0;1504494;9018;0;0;0.60;0.00;0.00
2020-U53;40-64;20174;1;0;1893459;22738;1;0;1.20;0.00;0.00
2020-U53;65-79;5390;0;0;905410;6229;0;0;0.69;0.00;0.00
2020-U53;80+;7014;0;0;294783;8116;0;0;2.75;0.00;0.00
2021-U01;16-19;83;0;0;274722;125;0;0;0.05;0.00;0.00
2021-U01;20-39;9797;1;0;1504494;18815;1;0;1.25;0.00;0.00
2021-U01;40-64;27128;1;0;1893459;49866;2;0;2.63;0.00;0.00
2021-U01;65-79;8507;0;0;905410;14736;0;0;1.63;0.00;0.00
2021-U01;80+;11413;1;0;294783;19529;1;0;6.62;0.00;0.00
2021-U02;16-19;48;0;0;274722;173;0;0;0.06;0.00;0.00
2021-U02;20-39;8101;100;0;1504494;26916;101;0;1.79;0.01;0.00
2021-U02;40-64;17970;301;0;1893459;67836;303;0;3.58;0.02;0.00
2021-U02;65-79;11038;100;0;905410;25774;100;0;2.85;0.01;0.00
2021-U02;80+;12399;125;0;294783;31928;126;0;10.8;0.04;0.00
2021-U03;12-15;0;1;0;273041;1;1;0;0.00;0.00;0.00
2021-U03;16-19;36;28;0;274722;209;28;0;0.08;0.01;0.00
2021-U03;20-39;1634;3668;0;1504494;28550;3769;0;1.90;0.25;0.00
2021-U03;40-64;3610;10614;0;1893459;71446;10917;0;3.77;0.58;0.00
2021-U03;65-79;2416;3907;0;905410;28190;4007;0;3.11;0.44;0.00
2021-U03;80+;2699;5878;0;294783;34627;6004;0;11.7;2.04;0.00
2021-U04;16-19;17;69;0;274722;226;97;0;0.08;0.04;0.00
2021-U04;20-39;836;9184;0;1504494;29386;12953;0;1.95;0.86;0.00
2021-U04;40-64;2007;26337;0;1893459;73453;37254;0;3.88;1.97;0.00
2021-U04;65-79;775;7861;0;905410;28965;11868;0;3.20;1.31;0.00
2021-U04;80+;508;10551;0;294783;35135;16555;0;11.9;5.62;0.00
2021-U05;16-19;16;50;0;274722;242;147;0;0.09;0.05;0.00
2021-U05;20-39;944;7806;0;1504494;30330;20759;0;2.02;1.38;0.00
2021-U05;40-64;1928;19114;0;1893459;75381;56368;0;3.98;2.98;0.00
2021-U05;65-79;1708;9810;0;905410;30673;21678;0;3.39;2.39;0.00
2021-U05;80+;4638;11124;0;294783;39773;27679;0;13.5;9.39;0.00
2021-U06;16-19;94;46;0;274722;336;193;0;0.12;0.07;0.00
2021-U06;20-39;6558;5293;0;1504494;36888;26052;0;2.45;1.73;0.00
2021-U06;40-64;12746;10927;0;1893459;88127;67295;0;4.65;3.55;0.00
2021-U06;65-79;2101;4451;0;905410;32774;26129;0;3.62;2.89;0.00
2021-U06;80+;16605;5266;0;294783;56378;32945;0;19.1;11.2;0.00
2021-U07;16-19;100;14;0;274722;436;207;0;0.16;0.08;0.00
2021-U07;20-39;9668;1561;0;1504494;46556;27613;0;3.09;1.84;0.00
2021-U07;40-64;19341;2908;0;1893459;107468;70203;0;5.68;3.71;0.00
2021-U07;65-79;7501;1605;0;905410;40275;27734;0;4.45;3.06;0.00
2021-U07;80+;43355;756;0;294783;99733;33701;0;33.8;11.4;0.00
