"Dato";"Kommune";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal 1. stik siden i går";"Antal 2. stik siden i går";"Antal 3. stik siden i går";"Antal borgere";"Dækning 1. stik (%)";"Dækning 2. stik (%)";"Dækning 3. stik (%)"
2022-04-22;Aabenraa;K;23804;23514;18509;-1;-1;-2;29419;80.9;79.9;62.9
2022-04-22;Aabenraa;M;23313;22972;17472;-1;-1;-1;29346;79.4;78.3;59.5
2022-04-22;Aalborg;K;92963;91513;71428;-2;-3;2;109753;84.7;83.4;65.1
2022-04-22;Aalborg;M;93012;91115;67492;2;3;2;111431;83.5;81.8;60.6
2022-04-22;Albertslund;K;10531;10244;7349;-2;-2;-2;13857;76.0;73.9;53.0
2022-04-22;Albertslund;M;10029;9716;6795;-1;-1;-2;13647;73.5;71.2;49.8
2022-04-22;Allerød;K;11258;11093;8725;1;1;0;13201;85.3;84.0;66.1
2022-04-22;Allerød;M;10698;10498;8063;-1;-1;-1;12670;84.4;82.9;63.6
2022-04-22;Assens;K;17456;17214;13697;3;3;1;20270;86.1;84.9;67.6
2022-04-22;Assens;M;17392;17088;12996;10;10;5;20640;84.3;82.8;63.0
2022-04-22;Ballerup;K;20251;19852;15400;0;0;-1;25280;80.1;78.5;60.9
2022-04-22;Ballerup;M;18805;18398;13686;-5;-5;-2;24149;77.9;76.2;56.7
2022-04-22;Billund;K;11039;10884;8483;-1;-1;0;13229;83.4;82.3;64.1
2022-04-22;Billund;M;11126;10950;8320;-1;-1;-1;13591;81.9;80.6;61.2
2022-04-22;Bornholm;K;17261;17023;14112;0;-1;4;20061;86.0;84.9;70.3
2022-04-22;Bornholm;M;16699;16427;13144;-3;-3;1;19605;85.2;83.8;67.0
2022-04-22;Brøndby;K;13453;13106;9675;2;2;2;18280;73.6;71.7;52.9
2022-04-22;Brøndby;M;12506;12150;8707;-1;-1;2;17722;70.6;68.6;49.1
2022-04-22;Brønderslev;K;15247;15014;11665;0;0;0;17953;84.9;83.6;65.0
2022-04-22;Brønderslev;M;15291;15005;11138;2;2;0;18410;83.1;81.5;60.5
2022-04-22;Dragør;K;6300;6165;4833;-2;-2;-2;7429;84.8;83.0;65.1
2022-04-22;Dragør;M;5897;5767;4340;-2;-2;-1;7127;82.7;80.9;60.9
2022-04-22;Egedal;K;18809;18528;14176;-3;-3;6;22453;83.8;82.5;63.1
2022-04-22;Egedal;M;18127;17794;13208;1;1;4;22105;82.0;80.5;59.8
2022-04-22;Esbjerg;K;48054;47366;36978;-9;-9;-2;57547;83.5;82.3;64.3
2022-04-22;Esbjerg;M;47487;46746;34936;-4;-4;0;57972;81.9;80.6;60.3
2022-04-22;Faaborg-Midtfyn;K;22193;21885;17309;0;0;1;25883;85.7;84.6;66.9
2022-04-22;Faaborg-Midtfyn;M;21985;21617;16494;-4;-3;-2;26049;84.4;83.0;63.3
2022-04-22;Fanø;K;1542;1529;1276;0;0;1;1765;87.4;86.6;72.3
2022-04-22;Fanø;M;1424;1406;1148;0;0;1;1657;85.9;84.9;69.3
2022-04-22;Favrskov;K;20730;20403;15659;0;3;2;24296;85.3;84.0;64.5
2022-04-22;Favrskov;M;20634;20290;15096;0;3;4;24710;83.5;82.1;61.1
2022-04-22;Faxe;K;15172;14939;11813;5;4;3;18197;83.4;82.1;64.9
2022-04-22;Faxe;M;15195;14921;11335;11;12;6;18939;80.2;78.8;59.9
2022-04-22;Fredensborg;K;17481;17205;13389;1;1;2;21314;82.0;80.7;62.8
2022-04-22;Fredensborg;M;16080;15763;11976;2;2;3;20030;80.3;78.7;59.8
2022-04-22;Fredericia;K;21774;21461;16898;-3;-3;-2;25820;84.3;83.1;65.4
2022-04-22;Fredericia;M;21280;20909;15891;-5;-5;-3;25924;82.1;80.7;61.3
2022-04-22;Frederiksberg;K;46144;45372;35549;20;19;20;54676;84.4;83.0;65.0
2022-04-22;Frederiksberg;M;40596;39660;29521;9;9;10;49276;82.4;80.5;59.9
2022-04-22;Frederikshavn;K;25151;24843;20095;-1;-1;-2;29153;86.3;85.2;68.9
2022-04-22;Frederikshavn;M;24857;24436;19047;-2;-2;-1;29641;83.9;82.4;64.3
2022-04-22;Frederikssund;K;19715;19446;15475;2;6;9;23238;84.8;83.7;66.6
2022-04-22;Frederikssund;M;18780;18422;14115;-2;-2;5;22664;82.9;81.3;62.3
2022-04-22;Furesø;K;17705;17356;13534;-6;-6;-3;21274;83.2;81.6;63.6
2022-04-22;Furesø;M;16586;16241;12163;-1;-1;1;20296;81.7;80.0;59.9
2022-04-22;Gentofte;K;32706;32129;24866;-1;1;5;38860;84.2;82.7;64.0
