"Kommune";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Dækning 1. stik (%)";"Dækning 2. stik (%)";"Dækning 3. stik (%)"
Aabenraa;47117;46486;35981;58765;80.2;79.1;61.2
Aalborg;185975;182628;138920;221184;84.1;82.6;62.8
Albertslund;20560;19960;14144;27504;74.8;72.6;51.4
Allerød;21956;21591;16788;25871;84.9;83.5;64.9
Assens;34848;34302;26693;40910;85.2;83.8;65.2
Ballerup;39056;38250;29086;49429;79.0;77.4;58.8
Billund;22165;21834;16803;26820;82.6;81.4;62.7
Bornholm;33960;33450;27256;39666;85.6;84.3;68.7
Brøndby;25959;25256;18382;36002;72.1;70.2;51.1
Brønderslev;30538;30019;22803;36363;84.0;82.6;62.7
Dragør;12197;11932;9173;14556;83.8;82.0;63.0
Egedal;36936;36322;27384;44558;82.9;81.5;61.5
Esbjerg;95541;94112;71914;115519;82.7;81.5;62.3
Faaborg-Midtfyn;44178;43502;33803;51932;85.1;83.8;65.1
Fanø;2966;2935;2424;3422;86.7;85.8;70.8
Favrskov;41364;40693;30755;49006;84.4;83.0;62.8
Faxe;30367;29860;23148;37136;81.8;80.4;62.3
Fredensborg;33561;32968;25365;41344;81.2;79.7;61.4
Fredericia;43054;42370;32789;51744;83.2;81.9;63.4
Frederiksberg;86740;85032;65070;103952;83.4;81.8;62.6
Frederikshavn;50008;49279;39142;58794;85.1;83.8;66.6
Frederikssund;38495;37868;29590;45902;83.9;82.5;64.5
Furesø;34291;33597;25697;41570;82.5;80.8;61.8
Gentofte;62071;60851;46273;74336;83.5;81.9;62.2
Gladsaxe;55391;54180;40066;69305;79.9;78.2;57.8
Glostrup;18222;17831;13206;23490;77.6;75.9;56.2
Greve;40779;39993;30215;51022;79.9;78.4;59.2
Gribskov;34206;33676;26792;41309;82.8;81.5;64.9
Guldborgsund;49604;48939;38697;60242;82.3;81.2;64.2
Haderslev;45498;44808;34357;55294;82.3;81.0;62.1
Halsnæs;26012;25534;20239;31427;82.8;81.2;64.4
Hedensted;39587;39077;29946;47244;83.8;82.7;63.4
Helsingør;51665;50780;39768;62944;82.1;80.7;63.2
Herlev;22596;22055;16429;28812;78.4;76.5;57.0
Herning;74634;73460;55569;89581;83.3;82.0;62.0
Hillerød;44023;43258;33210;53369;82.5;81.1;62.2
Hjørring;54374;53576;41470;63757;85.3;84.0;65.0
Holbæk;60682;59746;45907;73036;83.1;81.8;62.9
Holstebro;49372;48584;37025;58611;84.2;82.9;63.2
Horsens;77105;75891;57105;95143;81.0;79.8;60.0
Hvidovre;41420;40373;29508;53231;77.8;75.8;55.4
Høje Tåstrup;39811;38868;28083;53452;74.5;72.7;52.5
Hørsholm;21049;20716;16456;24703;85.2;83.9;66.6
Ikast-Brande;34359;33850;25420;42093;81.6;80.4;60.4
Ishøj;16177;15699;10773;23249;69.6;67.5;46.3
Jammerbugt;32243;31670;24655;38160;84.5;83.0;64.6
Kalundborg;39781;39185;30686;48432;82.1;80.9;63.4
Kerteminde;20481;20129;15865;24000;85.3;83.9;66.1
Kolding;76979;75757;56571;93933;82.0;80.7;60.2
København;507708;496026;358534;647486;78.4;76.6;55.4
Køge;50418;49465;37832;61806;81.6;80.0;61.2
Langeland;10545;10424;8651;12297;85.8;84.8;70.4
Lejre;23734;23372;18129;28667;82.8;81.5;63.2
Lemvig;16468;16270;13001;19318;85.2;84.2;67.3
Lolland;32731;32272;25606;40000;81.8;80.7;64.0
Lyngby-Taarbæk;48495;47453;36171;58079;83.5;81.7;62.3
Læsø;1537;1520;1313;1783;86.2;85.2;73.6
Mariagerfjord;35186;34539;26939;41705;84.4;82.8;64.6
Middelfart;33908;33410;26306;39729;85.3;84.1;66.2
Morsø;17004;16696;12985;20055;84.8;83.3;64.7
Norddjurs;31229;30770;24573;36988;84.4;83.2;66.4
Nordfyn;24937;24521;18984;29796;83.7;82.3;63.7
Nyborg;27470;27069;21257;32035;85.7;84.5;66.4
Næstved;69229;68174;52643;84045;82.4;81.1;62.6
Odder;20002;19728;15729;23431;85.4;84.2;67.1
Odense;171937;168829;127824;206297;83.3;81.8;62.0
Odsherred;27621;27249;22029;32869;84.0;82.9;67.0
Randers;82492;81183;62193;99228;83.1;81.8;62.7
Rebild;25434;24975;18909;30744;82.7;81.2;61.5
Ringkøbing-Skjern;46802;46103;35523;56272;83.2;81.9;63.1
Ringsted;28308;27830;21189;35445;79.9;78.5;59.8
Roskilde;75021;73817;56596;89763;83.6;82.2;63.1
Rudersdal;48279;47384;36743;57254;84.3;82.8;64.2
Rødovre;32084;31316;23012;41460;77.4;75.5;55.5
Samsø;3231;3204;2665;3703;87.3;86.5;72.0
Silkeborg;81100;79731;60975;98045;82.7;81.3;62.2
Skanderborg;53987;53013;40454;64651;83.5;82.0;62.6
Skive;38721;38192;29555;45108;85.8;84.7;65.5
Slagelse;64982;63867;49388;79723;81.5;80.1;61.9
