"Vaccinenavn";"Region";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik"
AstraZeneca Covid-19 vaccine;Hovedstaden;46655;1355;143
AstraZeneca Covid-19 vaccine;Midtjylland;34065;282;103
AstraZeneca Covid-19 vaccine;Nordjylland;17046;109;10
AstraZeneca Covid-19 vaccine;Sjælland;24075;481;48
AstraZeneca Covid-19 vaccine;Syddanmark;30850;519;90
Janssen COVID-19 vaccine;Hovedstaden;22797;71;16
Janssen COVID-19 vaccine;Midtjylland;9912;16;7
Janssen COVID-19 vaccine;Nordjylland;3677;12;0
Janssen COVID-19 vaccine;Sjælland;2871;23;1
Janssen COVID-19 vaccine;Syddanmark;7605;23;3
Moderna Covid-19 Vaccine;Hovedstaden;153042;169241;111247
Moderna Covid-19 Vaccine;Midtjylland;127744;134741;97676
Moderna Covid-19 Vaccine;Nordjylland;71339;73636;56737
Moderna Covid-19 Vaccine;Sjælland;85481;108633;89687
Moderna Covid-19 Vaccine;Syddanmark;136106;169433;131385
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1277181;1297306;985747
Pfizer BioNTech Covid-19 vacc;Midtjylland;950718;969035;748201
Pfizer BioNTech Covid-19 vacc;Nordjylland;406485;416383;321080
Pfizer BioNTech Covid-19 vacc;Sjælland;582267;574486;440220
Pfizer BioNTech Covid-19 vacc;Syddanmark;848169;836664;641656
