"Kommunenavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
København,50593,22034,638804
Frederiksberg,10520,5284,103361
Ballerup,5219,2515,49095
Brøndby,3829,1895,35396
Dragør,1639,875,14569
Gentofte,8291,4200,74370
Gladsaxe,7589,3672,69184
Glostrup,2936,1676,23469
Herlev,3472,1710,28829
Albertslund,2758,1601,27222
Hvidovre,6098,3229,53299
Høje-Taastrup,5179,2926,52168
Lyngby-Taarbæk,6393,3525,56885
Rødovre,4582,2161,41214
Ishøj,2063,1100,23080
Tårnby,4550,2154,42688
Vallensbæk,1808,992,16564
Furesø,4838,2576,40949
Allerød,3049,1410,25846
Fredensborg,4798,2452,41044
Helsingør,7678,3766,63012
Hillerød,6689,3312,51721
Hørsholm,3269,1791,24828
Rudersdal,7026,3590,56995
Egedal,4188,2024,43715
Frederikssund,5544,2745,45553
Greve,4884,2423,50535
Køge,6194,3222,61513
Frederiksværk-Hundested,4096,1771,31419
Roskilde,9675,4961,88770
Solrød,2210,1155,23472
Gribskov,5257,2423,40978
Odsherred,3954,1820,32912
Holbæk,7887,3829,71980
Faxe,3709,1803,36752
Kalundborg,4932,2388,48424
Ringsted,3186,1638,34954
Slagelse,8867,4356,79248
Stevns,2596,1200,23195
Sorø,3450,1545,29979
Lejre,3085,1479,28290
Lolland,4519,2395,40408
Næstved,9081,4630,83274
Guldborgsund,7416,3788,60325
Vordingborg,4934,2310,45223
Bornholm,4977,2403,39733
Middelfart,5016,2270,39258
Assens,4461,1711,40849
Faaborg-Midtfyn,5824,2302,51641
Kerteminde,2806,1138,23827
Nyborg,3727,1344,31953
Odense,22073,9160,205090
Svendborg,7919,3818,58802
Nordfyns,3208,1188,29532
Langeland,1779,710,12355
Ærø,951,543,5990
Haderslev,5631,2236,55322
Billund,2572,1100,26509
Sønderborg,8115,2994,73799
Tønder,3814,1626,37029
Esbjerg,13539,5615,115531
Fanø,411,160,3447
Varde,5766,2348,49658
Vejen,4745,2169,42785
Aabenraa,5544,2042,58574
Fredericia,6000,2603,51376
Horsens,9135,4294,92569
Kolding,9339,4114,93096
Vejle,12227,5236,117499
Herning,9750,5067,89274
Holstebro,6675,3323,58685
Lemvig,2293,1056,19564
Struer,2501,1336,20820
Syddjurs,4741,2458,43265
Norddjurs,4463,2522,36993
Favrskov,4767,2332,48478
Odder,2772,1473,23010
Randers,10953,5336,98297
Silkeborg,10247,5057,95909
Samsø,695,457,3680
Skanderborg,6156,2787,63462
Århus,33362,15302,352462
Ikast-Brande,3892,1927,41542
Ringkøbing-Skjern,6147,3263,56152
Hedensted,4581,2464,46835
Morsø,2714,1619,20075
Skive,5166,2744,45428
Thisted,4486,2340,43098
Viborg,11041,5797,96650
Brønderslev-Dronninglund,4217,2010,36137
Frederikshavn,6792,3463,58968
Vesthimmerlands,4468,2134,36351
Læsø,401,180,1773
Rebild,3136,1518,30492
Mariagerfjord,4815,2250,41588
Jammerbugt,4001,1896,38159
Ålborg,23731,10703,219658
Hjørring,7939,3724,64120
