"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,66700,31837,590419
Midtjylland,139337,68995,1333075
Syddanmark,135467,56427,1223922
Hovedstaden,188928,91812,1855990
Sjælland,90579,44942,839254
