"Regionsnavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
Nordjylland,66700,31837,11.3,5.4,590419
Midtjylland,139337,68995,10.5,5.2,1333075
Syddanmark,135467,56427,11.1,4.6,1223922
Hovedstaden,188928,91812,10.2,4.9,1855990
Sjælland,90579,44942,10.8,5.4,839254
