"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16858,0
AstraZeneca Covid-19 vaccine,Midtjylland,33537,0
AstraZeneca Covid-19 vaccine,Syddanmark,30418,246
AstraZeneca Covid-19 vaccine,Hovedstaden,45090,6
AstraZeneca Covid-19 vaccine,Sjælland,23855,331
Moderna Covid-19 Vaccine,Nordjylland,4312,3127
Moderna Covid-19 Vaccine,Midtjylland,7168,1729
Moderna Covid-19 Vaccine,Syddanmark,8161,4081
Moderna Covid-19 Vaccine,Hovedstaden,10489,2103
Moderna Covid-19 Vaccine,Sjælland,4910,1062
Pfizer BioNTech Covid-19 vacc,Nordjylland,45530,28710
Pfizer BioNTech Covid-19 vacc,Midtjylland,98632,67266
Pfizer BioNTech Covid-19 vacc,Syddanmark,96888,52100
Pfizer BioNTech Covid-19 vacc,Hovedstaden,133349,89703
Pfizer BioNTech Covid-19 vacc,Sjælland,61814,43549
