Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     157 (52);     145 (48);     302
10-19;     311 (55);     253 (45);     564
20-29;   1.039 (62);     635 (38);   1.674
30-39;   1.047 (61);     674 (39);   1.721
40-49;   1.255 (60);     832 (40);   2.087
50-59;   1.299 (60);     869 (40);   2.168
60-69;     688 (50);     695 (50);   1.383
70-79;     459 (46);     549 (54);   1.008
80-89;     457 (57);     343 (43);     800
90+;     184 (72);      71 (28);     255
I alt;   6.896 (58);   5.066 (42);  11.962
