"Regionsnavn";"Aldersgruppe";"sex";"Antal første vacc.";"Antal faerdigvacc."
Hovedstaden;0-9;K;13982;39
Hovedstaden;0-9;M;14856;30
Hovedstaden;10-19;K;73410;61254
Hovedstaden;10-19;M;76149;63410
Hovedstaden;20-29;K;120422;116253
Hovedstaden;20-29;M;113659;109174
Hovedstaden;30-39;K;110281;106431
Hovedstaden;30-39;M;108128;104761
Hovedstaden;40-49;K;110577;108811
Hovedstaden;40-49;M;107594;105864
Hovedstaden;50-59;K;113628;112698
Hovedstaden;50-59;M;112729;111643
Hovedstaden;60-69;K;90084;89659
Hovedstaden;60-69;M;85456;84981
Hovedstaden;70-79;K;83592;83304
Hovedstaden;70-79;M;70292;70071
Hovedstaden;80-89;K;38884;38724
Hovedstaden;80-89;M;26363;26281
Hovedstaden;90+;K;9106;9039
Hovedstaden;90+;M;3353;3334
Midtjylland;0-9;K;12681;23
Midtjylland;0-9;M;13558;17
Midtjylland;10-19;K;64063;53972
Midtjylland;10-19;M;66381;55662
Midtjylland;20-29;K;79644;77135
Midtjylland;20-29;M;81153;78322
Midtjylland;30-39;K;67450;65343
Midtjylland;30-39;M;68783;66779
Midtjylland;40-49;K;76253;75464
Midtjylland;40-49;M;75127;74219
Midtjylland;50-59;K;84349;83847
Midtjylland;50-59;M;84938;84434
Midtjylland;60-69;K;74770;74501
Midtjylland;60-69;M;72976;72722
Midtjylland;70-79;K;65284;65175
Midtjylland;70-79;M;60908;60800
Midtjylland;80-89;K;29766;29682
Midtjylland;80-89;M;23017;22953
Midtjylland;90+;K;6671;6639
Midtjylland;90+;M;3044;3034
Nordjylland;0-9;K;4958;1
Nordjylland;0-9;M;5241;2
Nordjylland;10-19;K;26407;21929
Nordjylland;10-19;M;27840;23096
Nordjylland;20-29;K;31500;30316
Nordjylland;20-29;M;35230;33797
Nordjylland;30-39;K;27441;26538
Nordjylland;30-39;M;28679;27662
Nordjylland;40-49;K;31803;31455
Nordjylland;40-49;M;31999;31548
Nordjylland;50-59;K;38001;37764
Nordjylland;50-59;M;38374;38080
Nordjylland;60-69;K;36098;35942
Nordjylland;60-69;M;35467;35313
Nordjylland;70-79;K;32210;32135
Nordjylland;70-79;M;30502;30420
Nordjylland;80-89;K;15061;15018
Nordjylland;80-89;M;11816;11782
Nordjylland;90+;K;3413;3397
Nordjylland;90+;M;1607;1595
Sjælland;0-9;K;6060;10
Sjælland;0-9;M;6547;19
Sjælland;10-19;K;37663;32156
Sjælland;10-19;M;39994;33987
Sjælland;20-29;K;30388;29114
Sjælland;20-29;M;33435;31991
Sjælland;30-39;K;36371;35044
Sjælland;30-39;M;35443;34183
Sjælland;40-49;K;49155;48505
Sjælland;40-49;M;46789;46124
Sjælland;50-59;K;59763;59349
Sjælland;50-59;M;60108;59687
Sjælland;60-69;K;53144;52927
Sjælland;60-69;M;51590;51362
Sjælland;70-79;K;50193;50076
Sjælland;70-79;M;45851;45750
Sjælland;80-89;K;21630;21562
Sjælland;80-89;M;16727;16693
Sjælland;90+;K;4414;4392
Sjælland;90+;M;1953;1947
Syddanmark;0-9;K;10390;17
Syddanmark;0-9;M;11286;16
Syddanmark;10-19;K;57057;48217
Syddanmark;10-19;M;59060;49694
Syddanmark;20-29;K;57217;54949
Syddanmark;20-29;M;61497;58857
Syddanmark;30-39;K;56513;54351
Syddanmark;30-39;M;56959;54953
Syddanmark;40-49;K;69375;68512
Syddanmark;40-49;M;67459;66394
Syddanmark;50-59;K;81468;80912
Syddanmark;50-59;M;82530;81887
Syddanmark;60-69;K;74238;73961
Syddanmark;60-69;M;73029;72724
Syddanmark;70-79;K;66046;65874
Syddanmark;70-79;M;61351;61179
Syddanmark;80-89;K;32021;31935
Syddanmark;80-89;M;24506;24426
Syddanmark;90+;K;7134;7075
Syddanmark;90+;M;3154;3143
