"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2021-12-27;Hovedstaden;K;763966;726212;404525;763776;725796;399971;190;416;4554
2021-12-27;Hovedstaden;M;718579;679549;359504;718382;679150;355389;197;399;4115
2021-12-27;Midtjylland;K;560931;531781;305968;560853;531711;303293;78;70;2675
2021-12-27;Midtjylland;M;549885;518942;274177;549792;518888;271689;93;54;2488
2021-12-27;Nordjylland;K;246892;234495;137063;246616;234442;133780;276;53;3283
2021-12-27;Nordjylland;M;246755;233295;122204;246485;233241;118665;270;54;3539
2021-12-27;Sjælland;K;348781;333135;199839;348743;333064;198394;38;71;1445
2021-12-27;Sjælland;M;338437;321743;178149;338388;321664;176771;49;79;1378
2021-12-27;Syddanmark;K;511459;485803;278423;511288;485748;276337;171;55;2086
2021-12-27;Syddanmark;M;500831;473273;246906;500644;473204;244730;187;69;2176
