"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;9;2;90707;0.0;0.0
0-2;M;1;0;95694;0.0;0.0
3-5;K;6248;3;91248;6.8;0.0
3-5;M;6908;6;96492;7.2;0.0
6-11;K;75115;2919;179949;41.7;1.6
6-11;M;79369;3141;189204;41.9;1.7
12-15;K;117392;109569;144583;81.2;75.8
12-15;M;123338;115072;152281;81.0;75.6
16-19;K;123509;120597;137118;90.1;88.0
16-19;M;126114;122334;142272;88.6;86.0
20-39;K;616950;595260;732696;84.2;81.2
20-39;M;621631;599261;761844;81.6;78.7
40-64;K;889766;881963;952511;93.4;92.6
40-64;M;880962;872403;954554;92.3;91.4
65-79;K;450253;448948;464189;97.0;96.7
65-79;M;413448;412217;425860;97.1;96.8
80+;K;152787;152165;158224;96.6;96.2
80+;M;102716;102368;105587;97.3;97.0
