"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;48071;90;297936;16.1;0.0
0-9;M;51488;84;314559;16.4;0.0
10-19;K;258600;217528;330067;78.3;65.9
10-19;M;269424;225849;346566;77.7;65.2
20-29;K;319171;307767;382909;83.4;80.4
20-29;M;324974;312141;399291;81.4;78.2
30-39;K;298056;287707;350064;85.1;82.2
30-39;M;297992;288338;363888;81.9;79.2
40-49;K;337163;332747;368083;91.6;90.4
40-49;M;328968;324149;368519;89.3;88.0
50-59;K;377209;374570;401054;94.1;93.4
50-59;M;378679;375731;404853;93.5;92.8
60-69;K;328334;326990;342129;96.0;95.6
60-69;M;318518;317102;331836;96.0;95.6
70-79;K;297325;296564;305446;97.3;97.1
70-79;M;268904;268220;275865;97.5;97.2
80-89;K;137362;136921;141389;97.2;96.8
80-89;M;102429;102135;104884;97.7;97.4
90+;K;30738;30542;32148;95.6;95.0
90+;M;13111;13053;13527;96.9;96.5
