"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
Nordjylland;493647;467790;259267;83.4;79.0;43.8;591922
Midtjylland;1110816;1050723;580145;82.8;78.3;43.2;1342246
Syddanmark;1012290;959076;525329;82.4;78.1;42.8;1228609
Hovedstaden;1482545;1405761;764029;79.3;75.2;40.9;1868673
Sjælland;687218;654878;377988;81.5;77.6;44.8;843563
