"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;8;2;90706;0.0;0.0
0-2;M;1;0;95694;0.0;0.0
3-5;K;6051;3;91051;6.6;0.0
3-5;M;6741;6;96325;7.0;0.0
6-11;K;74583;2807;179417;41.6;1.6
6-11;M;78713;2980;188548;41.7;1.6
12-15;K;105322;96971;132513;79.5;73.2
12-15;M;111171;102367;140114;79.3;73.1
16-19;K;120707;117835;134316;89.9;87.7
16-19;M;124286;120580;140444;88.5;85.9
20-39;K;617227;595474;732973;84.2;81.2
20-39;M;622966;600479;763179;81.6;78.7
40-64;K;883485;875660;946230;93.4;92.5
40-64;M;874164;865551;947756;92.2;91.3
65-79;K;456546;455211;470482;97.0;96.8
65-79;M;420905;419651;433317;97.1;96.8
80+;K;168100;167463;173537;96.9;96.5
80+;M;115540;115188;118411;97.6;97.3
