"Regionsnavn";"Aldersgruppe";"sex";"Antal første vacc.";"Antal faerdigvacc."
Hovedstaden;0-9;K;14092;42
Hovedstaden;0-9;M;14966;35
Hovedstaden;10-19;K;78144;66039
Hovedstaden;10-19;M;80510;67802
Hovedstaden;20-29;K;121145;116959
Hovedstaden;20-29;M;114632;110153
Hovedstaden;30-39;K;109925;106128
Hovedstaden;30-39;M;107537;104207
Hovedstaden;40-49;K;112426;110649
Hovedstaden;40-49;M;109230;107505
Hovedstaden;50-59;K;113140;112230
Hovedstaden;50-59;M;112318;111251
Hovedstaden;60-69;K;89027;88598
Hovedstaden;60-69;M;84434;83962
Hovedstaden;70-79;K;82312;82030
Hovedstaden;70-79;M;68508;68291
Hovedstaden;80-89;K;36236;36082
Hovedstaden;80-89;M;23804;23719
Hovedstaden;90+;K;7519;7455
Hovedstaden;90+;M;2640;2624
Midtjylland;0-9;K;12826;44
Midtjylland;0-9;M;13728;31
Midtjylland;10-19;K;67779;57785
Midtjylland;10-19;M;69750;59151
Midtjylland;20-29;K;79055;76538
Midtjylland;20-29;M;80807;77980
Midtjylland;30-39;K;67709;65618
Midtjylland;30-39;M;68638;66648
Midtjylland;40-49;K;77659;76874
Midtjylland;40-49;M;76732;75835
Midtjylland;50-59;K;84416;83922
Midtjylland;50-59;M;84874;84369
Midtjylland;60-69;K;74428;74163
Midtjylland;60-69;M;72921;72673
Midtjylland;70-79;K;63931;63823
Midtjylland;70-79;M;59177;59069
Midtjylland;80-89;K;27654;27570
Midtjylland;80-89;M;20903;20840
Midtjylland;90+;K;5474;5444
Midtjylland;90+;M;2355;2346
Nordjylland;0-9;K;5007;1
Nordjylland;0-9;M;5303;5
Nordjylland;10-19;K;27984;23542
Nordjylland;10-19;M;29352;24644
Nordjylland;20-29;K;31200;30017
Nordjylland;20-29;M;35034;33610
Nordjylland;30-39;K;27635;26737
Nordjylland;30-39;M;28609;27600
Nordjylland;40-49;K;32345;32001
Nordjylland;40-49;M;32514;32062
Nordjylland;50-59;K;38429;38189
Nordjylland;50-59;M;38862;38574
Nordjylland;60-69;K;35817;35665
Nordjylland;60-69;M;35321;35166
Nordjylland;70-79;K;31698;31624
Nordjylland;70-79;M;29823;29743
Nordjylland;80-89;K;14033;13990
Nordjylland;80-89;M;10712;10677
Nordjylland;90+;K;2744;2729
Nordjylland;90+;M;1225;1214
Sjælland;0-9;K;6110;14
Sjælland;0-9;M;6623;24
Sjælland;10-19;K;39592;34116
Sjælland;10-19;M;41994;36034
Sjælland;20-29;K;29907;28627
Sjælland;20-29;M;32752;31314
Sjælland;30-39;K;36981;35663
Sjælland;30-39;M;35792;34540
Sjælland;40-49;K;50484;49838
Sjælland;40-49;M;48293;47630
Sjælland;50-59;K;59905;59490
Sjælland;50-59;M;60115;59698
Sjælland;60-69;K;52832;52615
Sjælland;60-69;M;51390;51162
Sjælland;70-79;K;49441;49332
Sjælland;70-79;M;44981;44883
Sjælland;80-89;K;19945;19877
Sjælland;80-89;M;15017;14984
Sjælland;90+;K;3584;3563
Sjælland;90+;M;1480;1474
Syddanmark;0-9;K;10515;36
Syddanmark;0-9;M;11413;38
Syddanmark;10-19;K;60224;51471
Syddanmark;10-19;M;62091;52789
Syddanmark;20-29;K;56495;54211
Syddanmark;20-29;M;60824;58189
Syddanmark;30-39;K;56898;54762
Syddanmark;30-39;M;57006;55020
Syddanmark;40-49;K;70990;70124
Syddanmark;40-49;M;69341;68279
Syddanmark;50-59;K;81885;81331
Syddanmark;50-59;M;82692;82054
Syddanmark;60-69;K;73561;73293
Syddanmark;60-69;M;72696;72396
Syddanmark;70-79;K;65293;65120
Syddanmark;70-79;M;60188;60018
Syddanmark;80-89;K;29738;29652
Syddanmark;80-89;M;22165;22083
Syddanmark;90+;K;5860;5803
Syddanmark;90+;M;2415;2407
