"Regionsnavn";"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc."
Hovedstaden;0-2;K;4;0
Hovedstaden;0-2;M;0;0
Hovedstaden;3-5;K;1954;2
Hovedstaden;3-5;M;2122;5
Hovedstaden;6-11;K;21080;459
Hovedstaden;6-11;M;22075;467
Hovedstaden;12-15;K;33529;30994
Hovedstaden;12-15;M;35454;32814
Hovedstaden;16-19;K;35669;34626
Hovedstaden;16-19;M;35825;34551
Hovedstaden;20-39;K;231070;223087
Hovedstaden;20-39;M;222169;214360
Hovedstaden;40-64;K;272096;269167
Hovedstaden;40-64;M;267468;264389
Hovedstaden;65-79;K;124809;124340
Hovedstaden;65-79;M;107022;106620
Hovedstaden;80+;K;43755;43537
Hovedstaden;80+;M;26444;26343
Midtjylland;0-2;K;3;1
Midtjylland;0-2;M;1;0
Midtjylland;3-5;K;1624;0
Midtjylland;3-5;M;1822;0
Midtjylland;6-11;K;19931;1238
Midtjylland;6-11;M;21103;1306
Midtjylland;12-15;K;28842;27011
Midtjylland;12-15;M;30000;28114
Midtjylland;16-19;K;30205;29579
Midtjylland;16-19;M;30552;29762
Midtjylland;20-39;K;146764;142156
Midtjylland;20-39;M;149445;144628
Midtjylland;40-64;K;200226;198793
Midtjylland;40-64;M;199228;197685
Midtjylland;65-79;K;100208;99989
Midtjylland;65-79;M;94476;94261
Midtjylland;80+;K;33128;33014
Midtjylland;80+;M;23258;23186
Nordjylland;0-2;K;0;0
Nordjylland;0-2;M;0;0
Nordjylland;3-5;K;622;0
Nordjylland;3-5;M;667;0
Nordjylland;6-11;K;7802;107
Nordjylland;6-11;M;8172;110
Nordjylland;12-15;K;11979;11099
Nordjylland;12-15;M;12776;11862
Nordjylland;16-19;K;12588;12337
Nordjylland;16-19;M;13040;12677
Nordjylland;20-39;K;58835;56754
Nordjylland;20-39;M;63643;61210
Nordjylland;40-64;K;89197;88527
Nordjylland;40-64;M;89564;88733
Nordjylland;65-79;K;49092;48952
Nordjylland;65-79;M;46956;46812
Nordjylland;80+;K;16777;16719
Nordjylland;80+;M;11937;11891
Sjælland;0-2;K;0;0
Sjælland;0-2;M;0;0
Sjælland;3-5;K;779;1
Sjælland;3-5;M;884;1
Sjælland;6-11;K;9662;217
Sjælland;6-11;M;10309;274
Sjælland;12-15;K;17416;16444
Sjælland;12-15;M;18355;17248
Sjælland;16-19;K;17845;17468
Sjælland;16-19;M;19069;18535
Sjælland;20-39;K;66888;64290
Sjælland;20-39;M;68544;65854
Sjælland;40-64;K;137581;136390
Sjælland;40-64;M;135081;133861
Sjælland;65-79;K;75081;74885
Sjælland;65-79;M;69698;69512
Sjælland;80+;K;23529;23440
Sjælland;80+;M;16497;16458
Syddanmark;0-2;K;2;1
Syddanmark;0-2;M;0;0
Syddanmark;3-5;K;1269;0
Syddanmark;3-5;M;1413;0
Syddanmark;6-11;K;16640;898
Syddanmark;6-11;M;17710;984
Syddanmark;12-15;K;25626;24021
Syddanmark;12-15;M;26753;25034
Syddanmark;16-19;K;27202;26587
Syddanmark;16-19;M;27628;26809
Syddanmark;20-39;K;113393;108973
Syddanmark;20-39;M;117830;113209
Syddanmark;40-64;K;190666;189086
Syddanmark;40-64;M;189621;187735
Syddanmark;65-79;K;101063;100782
Syddanmark;65-79;M;95296;95012
Syddanmark;80+;K;35598;35455
Syddanmark;80+;M;24580;24490
