"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
København;501641;476769;214717;77.8;73.9;33.3;644980
Frederiksberg;86033;81925;44875;83.0;79.0;43.3;103663
Ballerup;38525;36546;21063;78.3;74.2;42.8;49229
Brøndby;25462;24207;13469;71.4;67.9;37.8;35650
Dragør;12108;11409;7520;82.9;78.1;51.5;14614
Gentofte;61476;57908;36777;82.8;78.0;49.5;74238
Gladsaxe;54669;51527;28516;78.9;74.3;41.1;69310
Glostrup;18039;17167;9551;76.8;73.0;40.6;23503
Herlev;22385;21144;12319;77.5;73.2;42.7;28882
Albertslund;20304;19059;10291;73.6;69.1;37.3;27572
Hvidovre;40907;38549;21161;76.8;72.4;39.7;53276
Høje Tåstrup;39055;36856;20012;73.7;69.5;37.8;53003
Lyngby-Taarbæk;48075;45215;27188;83.1;78.1;47.0;57882
Rødovre;31633;29943;16788;76.4;72.3;40.5;41414
Ishøj;15931;15044;7906;68.6;64.8;34.1;23210
Tårnby;33780;31878;18755;79.1;74.6;43.9;42728
Vallensbæk;12368;11614;6626;75.1;70.5;40.2;16477
Furesø;33789;31638;19768;81.6;76.4;47.7;41416
Allerød;21779;20480;12630;84.2;79.1;48.8;25875
Fredensborg;33108;31371;19026;80.4;76.1;46.2;41204
Helsingør;51229;48852;29927;81.4;77.6;47.5;62964
Hillerød;43577;41239;23113;81.8;77.4;43.4;53258
Hørsholm;20927;19995;13233;84.5;80.8;53.5;24753
Rudersdal;47941;45225;28838;83.7;79.0;50.3;57278
Egedal;36504;34547;20384;82.2;77.8;45.9;44386
Frederikssund;38114;36418;22241;83.3;79.6;48.6;45770
Greve;40259;38095;22660;79.2;75.0;44.6;50806
Køge;49811;47472;26268;80.7;76.9;42.6;61731
Halsnæs;25696;24661;15298;82.0;78.7;48.8;31349
Roskilde;74149;70399;40761;82.9;78.7;45.6;89466
Solrød;19249;18251;10674;80.9;76.7;44.9;23788
Gribskov;33771;32393;20212;82.1;78.7;49.1;41139
Odsherred;27400;26418;15523;83.4;80.4;47.2;32859
Holbæk;59955;57069;31702;82.3;78.4;43.5;72828
Faxe;30006;28718;16540;80.8;77.3;44.5;37157
Kalundborg;39374;37655;21025;81.3;77.8;43.4;48418
Ringsted;27812;26352;14183;79.1;75.0;40.4;35139
Slagelse;64257;61011;34174;80.6;76.6;42.9;79682
Stevns;19208;18365;10533;81.8;78.2;44.9;23478
Sorø;24871;23576;13507;82.9;78.6;45.0;30013
Lejre;23519;22276;13589;82.2;77.8;47.5;28618
Lolland;32527;31226;19795;81.1;77.8;49.3;40115
Næstved;68470;65140;37228;81.7;77.7;44.4;83793
Guldborgsund;49273;47255;28493;81.7;78.4;47.3;60291
Vordingborg;37078;35600;21333;81.7;78.4;47.0;45381
Bornholm;33719;32182;21825;85.0;81.2;55.0;39650
Middelfart;33537;31677;19061;84.7;80.0;48.1;39598
Assens;34592;32842;17883;84.4;80.1;43.6;41005
Faaborg-Midtfyn;43656;41294;23423;84.2;79.7;45.2;51828
Kerteminde;20307;19322;11385;84.4;80.3;47.3;24054
Nyborg;27188;25834;14015;84.7;80.5;43.6;32111
Odense;170323;161957;76072;82.7;78.6;36.9;206053
Svendborg;49992;47450;25837;84.4;80.2;43.6;59199
Nordfyn;24651;23446;13193;82.9;78.8;44.4;29740
Langeland;10471;10091;6367;85.0;82.0;51.7;12312
Ærø;5253;5037;3473;87.0;83.5;57.5;6035
Haderslev;45139;42893;23436;81.5;77.4;42.3;55384
Billund;21903;20739;11888;82.3;77.9;44.6;26625
Sønderborg;60823;57915;33296;82.5;78.6;45.2;73694
Tønder;29547;28224;14770;80.2;76.6;40.1;36858
Esbjerg;94575;89311;50369;81.9;77.4;43.6;115433
Fanø;2924;2831;1846;85.3;82.6;53.9;3428
Varde;40675;38540;22840;81.9;77.6;46.0;49693
Vejen;34553;32469;18705;81.0;76.2;43.9;42635
Aabenraa;46718;44570;24884;79.6;75.9;42.4;58701
Fredericia;42530;40190;23581;82.4;77.9;45.7;51617
Horsens;75951;71470;39220;80.4;75.7;41.5;94466
Kolding;76133;71535;38785;81.3;76.4;41.4;93595
Vejle;96800;90909;50220;81.3;76.4;42.2;119011
Herning;73945;69722;38949;82.8;78.1;43.6;89297
Holstebro;48802;46227;25147;83.3;78.9;42.9;58574
Lemvig;16390;15749;9838;84.5;81.2;50.7;19403
Struer;17680;16795;10210;85.0;80.8;49.1;20790
Syddjurs;36478;34663;20473;83.7;79.5;47.0;43595
Norddjurs;30955;29461;17381;83.8;79.7;47.0;36951
Favrskov;40899;38222;21615;83.7;78.2;44.2;48886
Odder;19671;18720;11373;84.4;80.4;48.8;23294
Randers;81550;77250;42810;82.4;78.1;43.3;98964
Silkeborg;79940;75527;42598;82.1;77.6;43.8;97325
Samsø;3223;3080;2180;86.7;82.8;58.6;3718
Skanderborg;53233;49770;28826;82.8;77.4;44.8;64289
Århus;292815;277884;137752;82.4;78.2;38.8;355433
Ikast-Brande;34007;32074;18024;81.1;76.5;43.0;41937
Ringkøbing-Skjern;46433;43945;26254;82.6;78.2;46.7;56229
Hedensted;39160;37054;21457;83.1;78.6;45.5;47131
Morsø;16851;16072;10065;84.0;80.1;50.2;20053
Skive;38441;36479;21916;85.3;80.9;48.6;45068
Thisted;35902;34057;19231;83.3;79.0;44.6;43110
Viborg;81243;76631;44122;83.8;79.1;45.5;96896
Brønderslev;30067;28255;16218;83.1;78.1;44.8;36170
Frederikshavn;49688;47079;27588;84.4;79.9;46.8;58893
Vesthimmerland;29704;28303;16552;81.8;77.9;45.6;36326
Læsø;1528;1460;1225;86.3;82.4;69.2;1771
Rebild;25192;23652;13186;82.2;77.1;43.0;30659
Mariagerfjord;34853;33094;19294;83.6;79.4;46.3;41676
Jammerbugt;31900;30132;18162;83.6;78.9;47.6;38167
Aalborg;184135;174788;88397;83.2;79.0;40.0;221212
Hjørring;53827;50898;29349;84.3;79.7;45.9;63885
