"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;48550;137;298415;16.3;0.0
0-9;M;52033;133;315104;16.5;0.0
10-19;K;273723;232953;345190;79.3;67.5
10-19;M;283697;240420;360839;78.6;66.6
20-29;K;317802;306352;381540;83.3;80.3
20-29;M;324049;311246;398366;81.3;78.1
30-39;K;299148;288908;351156;85.2;82.3
30-39;M;297582;288015;363478;81.9;79.2
40-49;K;343904;339486;374824;91.8;90.6
40-49;M;336110;331311;375661;89.5;88.2
50-59;K;377775;375162;401620;94.1;93.4
50-59;M;378861;375946;405035;93.5;92.8
60-69;K;325665;324334;339460;95.9;95.5
60-69;M;316762;315359;330080;96.0;95.5
70-79;K;292675;291929;300796;97.3;97.1
70-79;M;262677;262004;269638;97.4;97.2
80-89;K;127606;127171;131633;96.9;96.6
80-89;M;92601;92303;95056;97.4;97.1
90+;K;25181;24994;26591;94.7;94.0
90+;M;10115;10065;10531;96.0;95.6
