Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 101.688 (49); 107.472 (51); 209.160
10-19; 155.970 (50); 155.503 (50); 311.473
20-29; 132.819 (51); 126.858 (49); 259.677
30-39; 126.679 (53); 113.219 (47); 239.898
40-49; 122.176 (53); 109.065 (47); 231.241
50-59;  84.363 (50);  82.995 (50); 167.358
60-69;  42.140 (50);  42.397 (50);  84.537
70-79;  21.673 (50);  22.010 (50);  43.683
80-89;   8.863 (55);   7.160 (45);  16.023
90+;   2.891 (69);   1.292 (31);   4.183
I alt; 799.277 (51); 767.992 (49);1.567.270
