"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2021-10-01;Hovedstaden;K;712551;696101;13360;712350;695666;13213;201;435;147
2021-10-01;Hovedstaden;M;668851;653572;8910;668738;653239;8685;113;333;225
2021-10-01;Midtjylland;K;520893;512143;10807;520785;511858;10327;108;285;480
2021-10-01;Midtjylland;M;509136;499932;8197;509030;499726;7795;106;206;402
2021-10-01;Nordjylland;K;230948;227126;4572;230893;227056;4531;55;70;41
2021-10-01;Nordjylland;M;230065;225803;3356;230037;225736;3288;28;67;68
2021-10-01;Sjælland;K;326978;321930;6414;326929;321807;6290;49;123;124
2021-10-01;Sjælland;M;315577;310641;5005;315527;310503;4899;50;138;106
2021-10-01;Syddanmark;K;476243;468482;8626;476142;468104;8517;101;378;109
2021-10-01;Syddanmark;M;464133;456048;6884;464053;455712;6698;80;336;186
