"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;17;4;297397;0.0;0.0
0-9;M;15;3;313784;0.0;0.0
10-19;K;205195;195887;330627;62.1;59.2
10-19;M;212972;202257;346959;61.4;58.3
20-29;K;296175;285085;381529;77.6;74.7
20-29;M;303437;290584;397707;76.3;73.1
30-39;K;275060;263328;348039;79.0;75.7
30-39;M;278633;269617;360872;77.2;74.7
40-49;K;330618;326042;369613;89.4;88.2
40-49;M;322064;317539;370100;87.0;85.8
50-59;K;372571;369920;400674;93.0;92.3
50-59;M;373410;370783;404479;92.3;91.7
60-69;K;325495;324269;341195;95.4;95.0
60-69;M;315617;314449;331126;95.3;95.0
70-79;K;295728;295132;304882;97.0;96.8
70-79;M;267309;266769;275374;97.1;96.9
80-89;K;135972;135551;140606;96.7;96.4
80-89;M;101236;100997;104103;97.2;97.0
90+;K;30782;30564;32399;95.0;94.3
90+;M;13069;12998;13547;96.5;95.9
